Name,SMILES,MW
"bis(2,4,6-trimethylbenzoyl)phenylphosphine oxide",O=C(c1c(cc(cc1C)C)C)P(=O)(C(=O)c2c(cc(cc2C)C)C)c3ccccc3,418.473
"(17-acetyl-6-chloro-10,13-dimethyl-3-oxo-9,11,12,14,15,16-hexahydro-8H-cyclopenta[a]phenanthren-17-yl) acetate",ClC3=CC2C1C(C(CC1)(OC(=O)C)C(=O)C)(CCC2C4(C3=CC(=O)C=C4)C)C,402.918
budesonide,O=C\1\C=C/[C@]2(/C(=C/1)CC[C@H]3[C@H]4[C@](C[C@H](O)[C@H]23)([C@@]5(OC(O[C@@H]5C4)CCC)C(=O)CO)C)C,430.541
10-[3-(4-methylpiperazin-1-yl)propyl]-2-(trifluoromethyl)phenothiazine,FC(F)(F)c1cc3c(cc1)Sc2c(cccc2)N3CCCN4CCN(CC4)C,407.505
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",o1c3c(c2c1c(c(c(c2)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl,409.31
ursocholic acid,OC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@]12C)[C@@]4(C)CC[C@@H](O)C[C@H]4CC3O,408.579
a-endosulfan,ClC3(Cl)[C@]1(Cl)C(/Cl)=C(/Cl)[C@@]3(Cl)[C@@H]2COS(=O)OC[C@H]12,406.929
"[cyano-[3-(phenoxy)phenyl]methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",ClC(=CC1C(C1C(=O)OC(c2cc(ccc2)Oc3ccccc3)C#N)(C)C)Cl,416.304
hydrocortisone acetate,O=C(OCC(=O)[C@@]1(O)CC[C@H]2[C@H]4[C@H]([C@@H](O)C[C@]12C)[C@@]3(/C(=C\C(=O)CC3)CC4)C)C,404.503
"propan-2-yl 2,2-bis(4-bromophenyl)-2-hydroxyacetate",Brc1ccc(cc1)C(O)(c2ccc(cc2)Br)C(=O)OC(C)C,428.12
octachlorodibenzofuran,o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl,443.755
