Name,SMILES,MW,MW_range
triethylamine,CCN(CC)CC,101.193,100-150
2-ethyl-1-butanol,OCC(CC)CC,102.177,100-150
3-pyridinemethanol,n1cc(ccc1)CO,109.128,100-150
"1,1-dichlorobutane",ClC(Cl)CCC,127.014,100-150
propiophenone,O=C(CC)c1ccccc1,134.178,100-150
cytosine,c1cnc(=O)[nH]c1N,111.104,100-150
succinic acid,OC(CCC(O)=O)=O,118.088,100-150
3-bromoprop-1-ene,BrCC=C,120.977,100-150
4-chloroanisole,COc1ccc(cc1)Cl,142.585,100-150
"2,5-Piperazinedione",N1CC(=O)NCC1=O,114.104,100-150
292-64-8,C1CCCCCCC1,112.216,100-150
2-chloroanisole,COc1ccccc1Cl,142.585,100-150
4-dimethylaminobenzaldehyde,O=Cc1ccc(N(C)C)cc1,149.193,100-150
methionine,S(CCC(N)C(=O)O)C,149.215,100-150
"1,2-diethoxyethane",O(CCOCC)CC,118.176,100-150
3-methylindole,[nH]1c2c(c(c1)C)cccc2,131.178,100-150
phenylacetic acid,O=C(O)Cc1ccccc1,136.15,100-150
2-chlorophenol,Clc1c(cccc1)O,128.558,100-150
1-chlorohexane,ClCCCCCC,120.623,100-150
"1,8-dihydropteridine-2,4,7-trione",C21=C(C(=O)NC(=O)N1)N=CC(=O)N2,180.123,150-200
"1,7-Phenanthroline",n3c2c1c(nccc1)ccc2ccc3,180.21,150-200
"4,6-dihydroxy-2-methylpyrimidine-5-carboxamide",C1(=O)C(C(=O)N=C(N1)C)C(=O)N,169.14,150-200
N-(2-Chlorophenyl)acetamide,Clc1c(cccc1)NC(=O)C,169.611,150-200
"2,4,6-trichlorophenol",c1c(cc(c(c1Cl)O)Cl)Cl,197.448,150-200
nalidixic acid,O=C\2c1c(nc(cc1)C)N(/C=C/2C(=O)O)CC,232.239,200-250
"4-(aminomethyl)-9-methoxyfuro[3,2-g]chromen-7-one",c31c(c(c2c(c1CN)cco2)OC)OC(=O)C=C3,245.234,200-250
