Compound_ID,Num_Actual_Peaks,Num_Predicted_Peaks,Num_Matched_Peaks,Mean_Shift_Error_ppm,Mean_Intensity_Error,Shift_MAE_ppm,Intensity_MAE
451,18,13,12,0.007120833,0.13211769,0.007120833,0.13211769
452,93,12,12,0.021158917,0.17592184,0.021158917,0.17592184
453,2,2,2,0,0.06570038,0,0.06570038
454,45,7,7,0.011857285714285728,0.05125671,0.011857285714285728,0.05125671
455,25,12,10,0.015381000000000044,0.14015144,0.015381000000000044,0.14015144
456,68,17,17,0.018958823529411674,0.061728828,0.018958823529411674,0.061728828
457,34,19,19,0.011823684210526306,0.095134735,0.011823684210526306,0.095134735
458,33,13,12,0.014851666666666671,0.07573857,0.014851666666666671,0.07573857
459,70,19,18,0.021428888888888904,0.098598585,0.021428888888888904,0.098598585
460,1,1,1,0,0.065622926,0,0.065622926
461,28,5,5,0.0175814,0.22904737,0.0175814,0.22904737
462,28,11,11,0.021084545,0.20398383,0.021084545,0.20398383
463,36,10,10,0.021484000000000038,0.19472882,0.021484000000000038,0.19472882
464,35,22,21,0.014765238095238109,0.19755852,0.014765238095238109,0.19755852
465,93,24,23,0.024733391,0.11390011,0.024733391,0.11390011
466,14,16,13,0.003943077,0.14375845,0.003943077,0.14375845
467,71,19,19,0.026085895,0.14283104,0.026085895,0.14283104
468,41,18,18,0.016953888888888848,0.121427864,0.016953888888888848,0.121427864
469,24,9,6,0.010986667,0.048065722,0.010986667,0.048065722
470,18,10,9,0.012207777777777769,0.084006496,0.012207777777777769,0.084006496
471,97,19,18,0.026585055555555584,0.06161831,0.026585055555555584,0.06161831
472,90,21,19,0.027884000000000048,0.1766476,0.027884000000000048,0.1766476
473,27,18,14,0.009243571,0.16931906,0.009243571,0.16931906
474,84,21,21,0.029762000000000014,0.07648043,0.029762000000000014,0.07648043
475,5,10,5,0.002928,0.05818628,0.002928,0.05818628
476,20,12,12,0.0075275,0.05427775,0.0075275,0.05427775
477,102,25,23,0.021655260869565235,0.09036949,0.021655260869565235,0.09036949
478,33,13,12,0.014444166666666702,0.06951476,0.014444166666666702,0.06951476
479,1,1,1,0,0.06552285,0,0.06552285
480,27,12,12,0.014241666666666633,0.14027604,0.014241666666666633,0.14027604
481,77,20,16,0.012053750000000016,0.06513538,0.012053750000000016,0.06513538
482,12,14,12,0.006915833,0.14760351,0.006915833,0.14760351
483,23,6,6,0.00122,0.10241151,0.00122,0.10241151
484,82,22,22,0.018865818181818175,0.11911121,0.018865818181818175,0.11911121
485,23,11,9,0.012477777777777711,0.06421203,0.012477777777777711,0.06421203
486,15,8,7,0.011508571428571392,0.38305372,0.011508571428571392,0.38305372
487,4,6,4,0.0006125,0.1635756,0.0006125,0.1635756
488,11,8,7,0.004185714,0.28209978,0.004185714,0.28209978
489,3,6,3,0,0.2481393,0,0.2481393
490,72,19,18,0.018717388888888846,0.103564575,0.018717388888888846,0.103564575
491,8,8,8,0.011596250000000086,0.17600694,0.011596250000000086,0.17600694
492,14,11,11,0.007102727,0.1896099,0.007102727,0.1896099
493,22,12,12,0.007730917,0.22512181,0.007730917,0.22512181
494,6,6,5,0.008788,0.27545077,0.008788,0.27545077
495,7,7,5,0.004394,0.06986009,0.004394,0.06986009
496,89,24,23,0.032800652,0.076500386,0.032800652,0.076500386
497,26,12,12,0.010579166666666584,0.109743744,0.010579166666666584,0.109743744
498,16,5,5,0.018066000000000006,0.044511944,0.018066000000000006,0.044511944
499,4,6,4,0.00061,0.18726663,0.00061,0.18726663
500,24,6,5,0.013671999999999952,0.105876505,0.013671999999999952,0.105876505
501,10,6,6,0.009765,0.060454797,0.009765,0.060454797
502,45,13,13,0.012770769230769082,0.07013604,0.012770769230769082,0.07013604
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Worst Prediction,,,,,,,
