Compound_ID,Actual_Shift_ppm,Pred_Shift_ppm,Actual_Multiplicity,Pred_Multiplicity,Shift_Error_ppm,,,,,,,,
451,1.24268,1.24268,triplet,triplet,0,,,,,,,,
451,1.25489,1.25489,triplet,triplet,0,,Check (predicted the correct chemical shift but gave a singlet),,,,,,
451,1.26954,1.26954,triplet,triplet,0,,,,,,,,
451,3.7134,3.7134,triplet,quartet,0,,,,,,,,
451,3.72805,3.7256,quartet,quartet,0.00245,,,,,,,,
451,3.74025,3.74025,quartet,triplet,0,,,,,,,,
451,4.71682,4.71682,doublet,doublet,0,,,,,,,,
451,4.72659,4.72659,doublet,doublet,0,,,,,,,,
451,7.00687,7.04593,quartet,singlet,0.039060000000000095,,,,,,,,
451,7.21195,7.23392,triplet,doublet,0.02197,,,,,,,,
451,7.2266,7.24613,triplet,doublet,0.019529999999999603,,,,,,,,
451,8.45463,8.45219,singlet,singlet,0.00244,,,,,,,,
452,0.815434,0.815434,triplet,singlet,0,,,,,,,,
452,0.969243,1.01319,multiplet,singlet,0.043947,,,,,,,,
452,1.15723,1.15723,singlet,singlet,0,,,,,,,,
452,1.32081,1.3501,quartet,singlet,0.029290000000000038,,,,,,,,
452,1.53077,1.53077,quartet,singlet,0,,,,,,,,
452,1.58692,1.63087,multiplet,singlet,0.043949999999999934,,,,,,,,
452,1.70655,1.74806,multiplet,singlet,0.041509999999999936,,,,,,,,
452,2.32423,2.35841,multiplet,singlet,0.03418,,,,,,,,
452,3.60109,3.63771,doublet,singlet,0.03662,,,,,,,,
452,4.64846,4.65578,doublet,singlet,0.00732,,,,,,,,
452,5.72024,5.72024,singlet,singlet,0,,,,,,,,
452,7.23881,7.2559,quartet,singlet,0.017089999999999606,,,,,,,,
453,6.79691,6.79691,singlet,singlet,0,,,,,,,,
453,7.30228,7.30228,singlet,singlet,0,,,,,,,,
454,0.966802,0.969243,singlet,singlet,0.002441,,,,,,,,
454,1.17921,1.18897,doublet,doublet,0.00976,,,,,,,,
454,1.20118,1.20118,doublet,doublet,0,,,,,,,,
454,1.4087,1.4087,singlet,singlet,0,,,,,,,,
454,1.91163,1.93604,quartet,singlet,0.024410000000000043,,,,,,,,
454,2.11915,2.16554,multiplet,singlet,0.04639,,,,,,,,
454,3.98928,3.98928,singlet,singlet,0,,,,,,,,
455,1.1084,1.1084,singlet,doublet,0,,,,,,,,
455,1.14991,1.14991,singlet,triplet,0,,,,,,,,
455,2.27784,2.31691,triplet,singlet,0.03907,,,,,,,,
455,2.76613,2.76369,triplet,triplet,0.00244,,,,,,,,
455,2.77589,2.77589,triplet,triplet,0,,,,,,,,
455,2.78566,2.7881,triplet,triplet,0.00244,,,,,,,,
455,5.37844,5.41262,multiplet,triplet,0.03418,,,,,,,,
455,5.38821,5.42239,multiplet,triplet,0.03418,,,,,,,,
455,5.39798,5.4346,multiplet,triplet,0.03662,,,,,,,,
455,6.06937,6.07425,doublet,singlet,0.00488,,,,,,,,
456,3.01271,3.02736,multiplet,singlet,0.014649999999999608,,,,,,,,
456,3.25929,3.30324,quartet,singlet,0.043950000000000156,,,,,,,,
456,3.46193,3.50588,quartet,singlet,0.04395,,,,,,,,
456,3.59377,3.63039,multiplet,doublet,0.03662,,,,,,,,
456,3.60353,3.6426,multiplet,doublet,0.039069999999999716,,,,,,,,
456,3.8843,3.8843,triplet,doublet,0,,,,,,,,
456,3.91604,3.8965,multiplet,doublet,0.019540000000000113,,,,,,,,
456,4.10158,4.10402,doublet,singlet,0.00244,,,,,,,,
456,4.4092,4.41164,doublet,singlet,0.00244,,,,,,,,
456,4.49465,4.53616,triplet,singlet,0.041509999999999714,,,,,,,,
456,4.62893,4.6387,doublet,singlet,0.00977,,,,,,,,
456,4.90969,4.91213,doublet,doublet,0.00244,,,,,,,,
456,4.92434,4.9219,doublet,doublet,0.00244,,,,,,,,
456,7.01908,7.05326,triplet,singlet,0.03418,,,,,,,,
456,7.27787,7.29252,doublet,singlet,0.014649999999999608,,,,,,,,
456,7.49271,7.49027,triplet,singlet,0.00244,,,,,,,,
456,7.91752,7.92973,doublet,singlet,0.012210000000000498,,,,,,,,
457,1.74561,1.76759,quartet,doublet,0.02198,,,,,,,,
457,1.75782,1.78224,multiplet,doublet,0.02442,,,,,,,,
457,2.08009,2.08009,singlet,singlet,0,,,,,,,,
457,2.38527,2.38282,triplet,doublet,0.00245,,,,,,,,
457,2.39747,2.39991,triplet,doublet,0.00244,,,,,,,,
457,2.53419,2.54396,triplet,singlet,0.00977,,,,,,,,
457,2.94679,2.94679,triplet,triplet,0,,,,,,,,
457,2.959,2.959,triplet,triplet,0,,,,,,,,
457,2.97121,2.97121,triplet,triplet,0,,,,,,,,
457,3.90627,3.90627,triplet,triplet,0,,,,,,,,
457,3.91848,3.92092,triplet,triplet,0.00244,,,,,,,,
457,3.93313,3.93313,triplet,triplet,0,,,,,,,,
457,4.29934,4.29934,triplet,triplet,0,,,,,,,,
457,4.31154,4.31154,triplet,triplet,0,,,,,,,,
457,4.32375,4.32375,triplet,triplet,0,,,,,,,,
457,6.98978,7.03129,triplet,doublet,0.04151,,,,,,,,
457,7.00443,7.04838,quartet,doublet,0.04395,,,,,,,,
457,7.07279,7.11918,triplet,singlet,0.04639,,,,,,,,
457,7.17533,7.20463,quartet,singlet,0.029300000000000104,,,,,,,,
458,3.37648,3.37648,singlet,singlet,0,,,,,,,,
458,3.59377,3.63283,quartet,singlet,0.03906,,,,,,,,
458,3.81594,3.8257,quartet,singlet,0.00976,,,,,,,,
458,4.13088,4.17238,quartet,singlet,0.0415,,,,,,,,
458,4.42873,4.47756,quartet,singlet,0.048830000000000595,,,,,,,,
