Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm
451,Matched,1.2557033333333332,Triplet,1.2609949999999999,Doublet,0.0052916666666666945
451,Matched,3.7341499999999996,Quartet,3.69631,Singlet,0.03783999999999965
451,Matched,4.721705,Doublet,4.7217,Singlet,4.999999999810711e-06
451,Matched,7.023553333333333,Multiplet,7.01175,Singlet,0.011803333333332944
451,Matched,7.237585,Quartet,7.23148,Singlet,0.006104999999999805
451,Matched,8.45463,Singlet,8.45219,Singlet,0.0024399999999999977
451,Spurious,,,3.77443,Singlet,
452,Matched,0.815434,Singlet,0.8300825000000001,Doublet,0.014648500000000064
452,Matched,1.15723,Singlet,1.16944,Doublet,0.012210000000000054
452,Matched,1.7822370000000003,Multiplet,1.73341,Singlet,0.0488270000000004
452,Matched,3.6364924999999997,Quartet,3.63771,Singlet,0.0012175000000005376
452,Matched,5.72024,Singlet,5.72024,Singlet,0.0
452,Matched,7.2668833333333325,Multiplet,7.2559,Singlet,0.0109833333333329
452,Missed,0.8606,Doublet,,,
452,Missed,1.0026088333333334,Multiplet,,,
452,Missed,1.2353575,Multiplet,,,
452,Missed,1.3655650000000001,Multiplet,,,
452,Missed,1.611201111111111,Multiplet,,,
452,Missed,2.0629975000000003,Multiplet,,,
452,Missed,2.28883,Quartet,,,
452,Missed,2.40357625,Multiplet,,,
452,Missed,4.6566,Triplet,,,
453,Matched,6.79691,Singlet,6.79691,Singlet,0.0
453,Matched,7.30228,Singlet,7.30228,Singlet,0.0
454,Matched,0.9692435,Doublet,0.969243,Singlet,5.00000000069889e-07
454,Matched,1.20118,Singlet,1.208505,Doublet,0.007325000000000026
454,Matched,1.4087,Singlet,1.4087,Singlet,0.0
454,Matched,3.98928,Singlet,3.98928,Singlet,0.0
454,Missed,1.91529,Doublet,,,
454,Missed,4.91946,Singlet,,,
454,Missed,5.0342,Singlet,,,
455,Matched,1.1108449999999999,Doublet,1.11085,Singlet,5.000000000032756e-06
455,Matched,1.14991,Singlet,1.14991,Singlet,0.0
455,Matched,2.3632925,Quartet,2.33888,Singlet,0.024412499999999948
455,Matched,2.7758933333333338,Triplet,2.783215,Doublet,0.007321666666666449
455,Matched,5.423437142857142,Multiplet,5.42239,Singlet,0.001047142857141914
455,Missed,2.286385,Doublet,,,
455,Missed,6.0775033333333335,Triplet,,,
456,Matched,3.6712825000000002,Quartet,3.64504,Singlet,0.02624250000000039
456,Matched,3.8843,Singlet,3.8952850000000003,Doublet,0.010985000000000245
456,Matched,4.107685,Doublet,4.10891,Singlet,0.0012249999999998096
456,Matched,4.521996,Multiplet,4.51418,Singlet,0.007816000000000045
456,Matched,4.6313725,Quartet,4.62405,Singlet,0.0073224999999998985
456,Matched,4.917015,Doublet,4.91702,Singlet,4.999999999810711e-06
456,Matched,7.286415,Doublet,7.28519,Singlet,0.0012249999999998096
456,Matched,7.50492,Singlet,7.48051,Singlet,0.024410000000000487
456,Matched,7.9260649999999995,Doublet,7.93217,Singlet,0.006105000000000693
456,Missed,3.0520775,Multiplet,,,
456,Missed,3.18605,Doublet,,,
456,Missed,3.2714999999999996,Quartet,,,
456,Missed,3.364275,Doublet,,,
456,Missed,3.50197,Multiplet,,,
456,Missed,3.596616666666666,Multiplet,,,
456,Missed,3.931295,Quartet,,,
456,Missed,4.414085,Doublet,,,
456,Missed,7.042275,Doublet,,,
457,Matched,1.77003,Triplet,1.76515,Singlet,0.0048799999999999955
457,Matched,2.08009,Singlet,2.08009,Singlet,0.0
457,Matched,2.393078,Multiplet,2.3755,Singlet,0.01757799999999987
457,Matched,2.5431433333333335,Triplet,2.50001,Singlet,0.04313333333333347
457,Matched,2.9589999999999996,Triplet,2.95656,Singlet,0.0024399999999995536
457,Matched,3.9192933333333335,Triplet,3.92092,Singlet,0.0016266666666666652
457,Matched,4.311543333333334,Triplet,4.31399,Singlet,0.002446666666666708
457,Matched,7.036865714285715,Multiplet,7.05082,Singlet,0.013954285714285142
457,Matched,7.135045,Doublet,7.0972,Singlet,0.037844999999999906
457,Missed,7.201575000000001,Quartet,,,
458,Matched,3.37648,Singlet,3.37648,Singlet,0.0
458,Matched,3.6102475000000003,Quartet,3.6548,Singlet,0.04455249999999955
458,Matched,4.4128625,Quartet,4.37746,Singlet,0.0354025
458,Matched,7.28275,Doublet,7.28519,Singlet,0.0024399999999999977
458,Matched,7.3975,Singlet,7.3975,Singlet,0.0
458,Matched,7.5806,Singlet,7.5806,Singlet,0.0
458,Matched,8.183635,Doublet,8.18608,Singlet,0.0024449999999998084
458,Matched,8.64262,Singlet,8.64262,Singlet,0.0
458,Matched,9.95855,Singlet,9.95855,Singlet,0.0
458,Missed,3.8311975,Quartet,,,
458,Missed,4.1467475,Quartet,,,
458,Missed,4.4905800000000005,Triplet,,,
458,Missed,7.74784,Doublet,,,
459,Matched,1.01563,Singlet,1.01563,Singlet,0.0
459,Matched,1.330575,Doublet,1.33546,Singlet,0.004885000000000028
459,Matched,1.49659,Doublet,1.51246,Doublet,0.01586999999999983
