Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,5,5,0.0019519999999999982,25.0
451,0.02,20,5,5,0.0019519999999999982,25.0
451,0.05,20,5,5,0.0019519999999999982,25.0
452,0.01,86,7,5,0.0019559999999998468,5.813953488372093
452,0.02,86,7,6,0.0036644999999998853,6.976744186046512
452,0.05,86,7,7,0.0062795714285713055,8.13953488372093
453,0.01,2,2,2,0.0,100.0
453,0.02,2,2,2,0.0,100.0
453,0.05,2,2,2,0.0,100.0
454,0.01,9,6,4,0.0006102499999999789,44.44444444444444
454,0.02,9,6,4,0.0006102499999999789,44.44444444444444
454,0.05,9,6,4,0.0006102499999999789,44.44444444444444
455,0.01,22,5,5,0.0029300000000000103,22.727272727272727
455,0.02,22,5,5,0.0029300000000000103,22.727272727272727
455,0.05,22,5,5,0.0029300000000000103,22.727272727272727
456,0.01,58,11,8,0.004881249999999948,13.793103448275861
456,0.02,58,11,9,0.005694444444444397,15.517241379310345
456,0.05,58,11,11,0.009541818181818196,18.96551724137931
457,0.01,34,10,9,0.0029833333333333873,26.470588235294116
457,0.02,34,10,9,0.0029833333333333873,26.470588235294116
457,0.05,34,10,10,0.006103000000000058,29.41176470588235
458,0.01,30,8,7,0.0,23.333333333333332
458,0.02,30,8,8,0.0021362499999999507,26.666666666666668
458,0.05,30,8,8,0.0021362499999999507,26.666666666666668
459,0.01,43,9,9,0.001627777777777734,20.930232558139537
459,0.02,43,9,9,0.001627777777777734,20.930232558139537
459,0.05,43,9,9,0.001627777777777734,20.930232558139537
460,0.01,1,1,1,0.0,100.0
460,0.02,1,1,1,0.0,100.0
460,0.05,1,1,1,0.0,100.0
461,0.01,18,4,4,0.0018302500000000055,22.22222222222222
461,0.02,18,4,4,0.0018302500000000055,22.22222222222222
461,0.05,18,4,4,0.0018302500000000055,22.22222222222222
462,0.01,27,7,5,0.0014659999999999229,18.51851851851852
462,0.02,27,7,6,0.004476666666666536,22.22222222222222
462,0.05,27,7,7,0.008371428571428474,25.925925925925927
463,0.01,39,5,5,0.0034159999999999967,12.820512820512821
463,0.02,39,5,5,0.0034159999999999967,12.820512820512821
463,0.05,39,5,5,0.0034159999999999967,12.820512820512821
464,0.01,37,12,9,0.002985555555555624,24.324324324324323
464,0.02,37,12,10,0.004396000000000111,27.027027027027028
464,0.05,37,12,12,0.00814000000000011,32.432432432432435
465,0.01,97,13,8,0.0036631249999999477,8.24742268041237
465,0.02,97,13,11,0.007324999999999935,11.34020618556701
465,0.05,97,13,12,0.008545416666666611,12.371134020618557
466,0.01,14,10,8,0.0009162500000000073,57.142857142857146
466,0.02,14,10,9,0.0024422222222222345,64.28571428571429
466,0.05,14,10,9,0.0024422222222222345,64.28571428571429
467,0.01,39,10,8,0.0033551249999999866,20.512820512820515
467,0.02,39,10,8,0.0033551249999999866,20.512820512820515
467,0.05,39,10,10,0.010497099999999971,25.641025641025642
468,0.01,32,8,8,0.0015249999999999986,25.0
468,0.02,32,8,8,0.0015249999999999986,25.0
468,0.05,32,8,8,0.0015249999999999986,25.0
469,0.01,11,5,5,0.00048799999999999956,45.45454545454545
469,0.02,11,5,5,0.00048799999999999956,45.45454545454545
469,0.05,11,5,5,0.00048799999999999956,45.45454545454545
470,0.01,16,8,7,0.001744285714285722,43.75
470,0.02,16,8,7,0.001744285714285722,43.75
470,0.05,16,8,8,0.006408750000000019,50.0
471,0.01,71,10,8,0.003052749999999993,11.267605633802816
471,0.02,71,10,10,0.005371200000000043,14.084507042253522
471,0.05,71,10,10,0.005371200000000043,14.084507042253522
472,0.01,89,10,7,0.0041855714285714395,7.865168539325842
472,0.02,89,10,9,0.007596555555555582,10.112359550561798
472,0.05,89,10,10,0.010498900000000033,11.235955056179776
473,0.01,24,7,7,0.001395857142857155,29.166666666666668
473,0.02,24,7,7,0.001395857142857155,29.166666666666668
473,0.05,24,7,7,0.001395857142857155,29.166666666666668
474,0.01,41,9,7,0.002440142857142843,17.073170731707318
474,0.02,41,9,7,0.002440142857142843,17.073170731707318
474,0.05,41,9,9,0.010578999999999969,21.951219512195124
475,0.01,7,3,3,0.0032600000000000406,42.857142857142854
475,0.02,7,3,3,0.0032600000000000406,42.857142857142854
475,0.05,7,3,3,0.0032600000000000406,42.857142857142854
476,0.01,16,6,6,0.0012199999999999989,37.5
476,0.02,16,6,6,0.0012199999999999989,37.5
476,0.05,16,6,6,0.0012199999999999989,37.5
477,0.01,92,10,9,0.002441111111111116,9.782608695652174
477,0.02,92,10,9,0.002441111111111116,9.782608695652174
477,0.05,92,10,9,0.002441111111111116,9.782608695652174
478,0.01,32,7,6,0.0004066666666666663,18.75
478,0.02,32,7,7,0.002789999999999943,21.875
478,0.05,32,7,7,0.002789999999999943,21.875
479,0.01,1,1,1,0.0,100.0
479,0.02,1,1,1,0.0,100.0
479,0.05,1,1,1,0.0,100.0
480,0.01,19,7,6,0.0016283333333333427,31.57894736842105
480,0.02,19,7,6,0.0016283333333333427,31.57894736842105
480,0.05,19,7,7,0.006975714285714307,36.8421052631579
481,0.01,45,11,7,0.002441428571428515,15.555555555555555
481,0.02,45,11,8,0.0036624999999999575,17.77777777777778
481,0.05,45,11,9,0.006239999999999974,20.0
482,0.01,14,8,4,0.0012199999999999989,28.571428571428573
482,0.02,14,8,4,0.0012199999999999989,28.571428571428573
482,0.05,14,8,8,0.014342500000000147,57.142857142857146
483,0.01,8,4,4,0.0012225000000001263,50.0
483,0.02,8,4,4,0.0012225000000001263,50.0
483,0.05,8,4,4,0.0012225000000001263,50.0
484,0.01,42,8,7,0.004882285714285665,16.666666666666668
484,0.02,42,8,8,0.006408249999999949,19.047619047619047
484,0.05,42,8,8,0.006408249999999949,19.047619047619047
485,0.01,23,7,6,0.0016266666666666652,26.08695652173913
485,0.02,23,7,7,0.0034857142857142825,30.434782608695652
485,0.05,23,7,7,0.0034857142857142825,30.434782608695652
486,0.01,20,6,2,0.0012199999999999989,10.0
486,0.02,20,6,4,0.006709999999999994,20.0
486,0.05,20,6,6,0.01830833333333337,30.0
487,0.01,4,3,3,0.0,75.0
487,0.02,4,3,3,0.0,75.0
487,0.05,4,3,3,0.0,75.0
488,0.01,11,4,4,0.0018299999999999983,36.36363636363637
488,0.02,11,4,4,0.0018299999999999983,36.36363636363637
488,0.05,11,4,4,0.0018299999999999983,36.36363636363637
489,0.01,3,3,3,0.0,100.0
489,0.02,3,3,3,0.0,100.0
489,0.05,3,3,3,0.0,100.0
490,0.01,38,10,7,0.0013957142857142304,18.42105263157895
490,0.02,38,10,7,0.0013957142857142304,18.42105263157895
490,0.05,38,10,10,0.010498999999999991,26.31578947368421
491,0.01,8,6,4,0.004884999999999806,50.0
491,0.02,8,6,6,0.009360000000000035,75.0
491,0.05,8,6,6,0.009360000000000035,75.0
492,0.01,15,6,5,0.0039039999999999964,33.333333333333336
492,0.02,15,6,6,0.0065083333333332645,40.0
492,0.05,15,6,6,0.0065083333333332645,40.0
493,0.01,20,4,3,0.002440333333333341,15.0
493,0.02,20,4,4,0.005492749999999907,20.0
493,0.05,20,4,4,0.005492749999999907,20.0
494,0.01,9,5,3,0.0024399999999999977,33.333333333333336
494,0.02,9,5,3,0.0024399999999999977,33.333333333333336
494,0.05,9,5,5,0.015135999999999683,55.55555555555556
495,0.01,8,4,4,0.0036599999999999966,50.0
495,0.02,8,4,4,0.0036599999999999966,50.0
495,0.05,8,4,4,0.0036599999999999966,50.0
496,0.01,94,11,11,0.002662000000000003,11.702127659574469
496,0.02,94,11,11,0.002662000000000003,11.702127659574469
496,0.05,94,11,11,0.002662000000000003,11.702127659574469
497,0.01,20,5,4,0.0024399999999999977,20.0
