fold,train_mse,val_mse,train_r2,val_r2
1,0.0008442754624411464,0.0011246855137869716,0.09647170454263687,-0.20975926518440247
2,0.0007593596819788218,0.0010493790032342076,0.18346284329891205,-0.08385834097862244
3,0.0007734150858595967,0.06963182985782623,0.17389138042926788,-75.3477554321289
4,0.0007702121511101723,0.0010533680906519294,0.17159222066402435,-0.08588997274637222
5,0.0007733305683359504,0.000941947684623301,0.17874391376972198,-0.08950933814048767
6,0.0007886470411904156,0.0023693768307566643,0.14676953852176666,-1.3273723125457764
7,0.0008244903292506933,0.0009236063924618065,0.12372510880231857,-0.059173833578825
8,0.0007826146902516484,0.000980347627773881,0.1697598248720169,-0.14376410841941833
9,0.0007793987169861794,0.0009601537021808326,0.1670733094215393,-0.0470108762383461
10,0.0007619275711476803,0.0009898628341034055,0.1909923553466797,-0.14395257830619812
