Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,1181,19,0.003467894736842082,95.0
451,0.02,20,1181,20,0.0039049999999999584,100.0
451,0.05,20,1181,20,0.0039049999999999584,100.0
452,0.01,86,1181,82,0.0026497439024390067,95.34883720930233
452,0.02,86,1181,83,0.0027648072289156453,96.51162790697674
452,0.05,86,1181,86,0.003662081395348821,100.0
453,0.01,2,1181,2,0.0036599999999999966,100.0
453,0.02,2,1181,2,0.0036599999999999966,100.0
453,0.05,2,1181,2,0.0036599999999999966,100.0
454,0.01,9,1181,9,0.0024414444444444097,100.0
454,0.02,9,1181,9,0.0024414444444444097,100.0
454,0.05,9,1181,9,0.0024414444444444097,100.0
455,0.01,22,1181,22,0.0021095454545454473,100.0
455,0.02,22,1181,22,0.0021095454545454473,100.0
455,0.05,22,1181,22,0.0021095454545454473,100.0
456,0.01,58,1181,57,0.0027407017543859538,98.27586206896552
456,0.02,58,1181,58,0.002903965517241369,100.0
456,0.05,58,1181,58,0.002903965517241369,100.0
457,0.01,34,1181,34,0.0015797058823529063,100.0
457,0.02,34,1181,34,0.0015797058823529063,100.0
457,0.05,34,1181,34,0.0015797058823529063,100.0
458,0.01,30,1181,30,0.0029296666666666156,100.0
458,0.02,30,1181,30,0.0029296666666666156,100.0
458,0.05,30,1181,30,0.0029296666666666156,100.0
459,0.01,43,1181,43,0.001929999999999982,100.0
459,0.02,43,1181,43,0.001929999999999982,100.0
459,0.05,43,1181,43,0.001929999999999982,100.0
460,0.01,1,1181,1,0.004889999999999617,100.0
460,0.02,1,1181,1,0.004889999999999617,100.0
460,0.05,1,1181,1,0.004889999999999617,100.0
461,0.01,18,1181,18,0.002304722222222222,100.0
461,0.02,18,1181,18,0.002304722222222222,100.0
461,0.05,18,1181,18,0.002304722222222222,100.0
462,0.01,27,1181,27,0.0021700000000000217,100.0
462,0.02,27,1181,27,0.0021700000000000217,100.0
462,0.05,27,1181,27,0.0021700000000000217,100.0
463,0.01,39,1181,39,0.0026294871794871203,100.0
463,0.02,39,1181,39,0.0026294871794871203,100.0
463,0.05,39,1181,39,0.0026294871794871203,100.0
464,0.01,37,1181,37,0.00250810810810812,100.0
464,0.02,37,1181,37,0.00250810810810812,100.0
464,0.05,37,1181,37,0.00250810810810812,100.0
465,0.01,97,1181,89,0.003181988764044947,91.75257731958763
465,0.02,97,1181,92,0.003502793478260871,94.84536082474227
465,0.05,97,1181,95,0.004086178947368425,97.9381443298969
466,0.01,14,1181,14,0.0026171428571428734,100.0
466,0.02,14,1181,14,0.0026171428571428734,100.0
466,0.05,14,1181,14,0.0026171428571428734,100.0
467,0.01,39,1181,39,0.0028790512820512713,100.0
467,0.02,39,1181,39,0.0028790512820512713,100.0
467,0.05,39,1181,39,0.0028790512820512713,100.0
468,0.01,32,1181,32,0.0026696875000000314,100.0
468,0.02,32,1181,32,0.0026696875000000314,100.0
468,0.05,32,1181,32,0.0026696875000000314,100.0
469,0.01,11,1181,11,0.001109090909090908,100.0
469,0.02,11,1181,11,0.001109090909090908,100.0
469,0.05,11,1181,11,0.001109090909090908,100.0
470,0.01,16,1181,16,0.0025931250000000017,100.0
470,0.02,16,1181,16,0.0025931250000000017,100.0
470,0.05,16,1181,16,0.0025931250000000017,100.0
471,0.01,71,1181,69,0.0019109420289855081,97.1830985915493
471,0.02,71,1181,70,0.002092785714285715,98.59154929577464
471,0.05,71,1181,71,0.0024071126760563393,100.0
472,0.01,89,1181,85,0.0026995294117647018,95.50561797752809
472,0.02,89,1181,89,0.0032639325842696606,100.0
472,0.05,89,1181,89,0.0032639325842696606,100.0
473,0.01,24,1181,24,0.0031527083333333095,100.0
473,0.02,24,1181,24,0.0031527083333333095,100.0
473,0.05,24,1181,24,0.0031527083333333095,100.0
474,0.01,41,1181,41,0.0027388536585365875,100.0
474,0.02,41,1181,41,0.0027388536585365875,100.0
474,0.05,41,1181,41,0.0027388536585365875,100.0
475,0.01,7,1181,7,0.0034914285714284787,100.0
475,0.02,7,1181,7,0.0034914285714284787,100.0
475,0.05,7,1181,7,0.0034914285714284787,100.0
476,0.01,16,1181,16,0.0015249999999999986,100.0
476,0.02,16,1181,16,0.0015249999999999986,100.0
476,0.05,16,1181,16,0.0015249999999999986,100.0
477,0.01,92,1181,87,0.002384885057471257,94.56521739130434
477,0.02,92,1181,91,0.002896978021978011,98.91304347826087
477,0.05,92,1181,92,0.0031839673913043355,100.0
478,0.01,32,1181,32,0.002746249999999964,100.0
478,0.02,32,1181,32,0.002746249999999964,100.0
478,0.05,32,1181,32,0.002746249999999964,100.0
479,0.01,1,1181,1,0.002449999999999619,100.0
479,0.02,1,1181,1,0.002449999999999619,100.0
479,0.05,1,1181,1,0.002449999999999619,100.0
480,0.01,19,1181,19,0.002826315789473677,100.0
480,0.02,19,1181,19,0.002826315789473677,100.0
480,0.05,19,1181,19,0.002826315789473677,100.0
481,0.01,45,1181,45,0.002549599999999979,100.0
481,0.02,45,1181,45,0.002549599999999979,100.0
481,0.05,45,1181,45,0.002549599999999979,100.0
482,0.01,14,1181,14,0.002789285714285748,100.0
482,0.02,14,1181,14,0.002789285714285748,100.0
482,0.05,14,1181,14,0.002789285714285748,100.0
483,0.01,8,1181,8,0.004882500000000012,100.0
483,0.02,8,1181,8,0.004882500000000012,100.0
483,0.05,8,1181,8,0.004882500000000012,100.0
484,0.01,42,1181,42,0.00244204761904762,100.0
484,0.02,42,1181,42,0.00244204761904762,100.0
484,0.05,42,1181,42,0.00244204761904762,100.0
485,0.01,23,1181,23,0.0020173913043478164,100.0
485,0.02,23,1181,23,0.0020173913043478164,100.0
485,0.05,23,1181,23,0.0020173913043478164,100.0
486,0.01,20,1181,20,0.0020749999999999822,100.0
486,0.02,20,1181,20,0.0020749999999999822,100.0
486,0.05,20,1181,20,0.0020749999999999822,100.0
487,0.01,4,1181,4,0.0018325000000000147,100.0
487,0.02,4,1181,4,0.0018325000000000147,100.0
487,0.05,4,1181,4,0.0018325000000000147,100.0
488,0.01,11,1181,9,0.001897777777777776,81.81818181818181
488,0.02,11,1181,11,0.0042163636363637255,100.0
488,0.05,11,1181,11,0.0042163636363637255,100.0
489,0.01,3,1181,3,0.0008166666666665398,100.0
489,0.02,3,1181,3,0.0008166666666665398,100.0
489,0.05,3,1181,3,0.0008166666666665398,100.0
490,0.01,38,1181,38,0.0028258421052631396,100.0
490,0.02,38,1181,38,0.0028258421052631396,100.0
490,0.05,38,1181,38,0.0028258421052631396,100.0
491,0.01,8,1181,8,0.0018324999999999037,100.0
491,0.02,8,1181,8,0.0018324999999999037,100.0
491,0.05,8,1181,8,0.0018324999999999037,100.0
492,0.01,15,1181,15,0.002114666666666665,100.0
492,0.02,15,1181,15,0.002114666666666665,100.0
492,0.05,15,1181,15,0.002114666666666665,100.0
493,0.01,20,1181,20,0.0025632499999999835,100.0
493,0.02,20,1181,20,0.0025632499999999835,100.0
493,0.05,20,1181,20,0.0025632499999999835,100.0
494,0.01,9,1181,9,0.0016266666666666652,100.0
494,0.02,9,1181,9,0.0016266666666666652,100.0
494,0.05,9,1181,9,0.0016266666666666652,100.0
495,0.01,8,1181,8,0.002138750000000189,100.0
495,0.02,8,1181,8,0.002138750000000189,100.0
495,0.05,8,1181,8,0.002138750000000189,100.0
496,0.01,94,1181,85,0.003044294117647058,90.42553191489361
496,0.02,94,1181,91,0.0038095054945054894,96.80851063829788
496,0.05,94,1181,94,0.0046488829787234,100.0
497,0.01,20,1181,20,0.0021975000000000523,100.0
497,0.02,20,1181,20,0.0021975000000000523,100.0
497,0.05,20,1181,20,0.0021975000000000523,100.0
498,0.01,14,1181,14,0.0027900000000000225,100.0
498,0.02,14,1181,14,0.0027900000000000225,100.0
498,0.05,14,1181,14,0.0027900000000000225,100.0
499,0.01,4,1181,4,0.0012199999999999989,100.0
499,0.02,4,1181,4,0.0012199999999999989,100.0
499,0.05,4,1181,4,0.0012199999999999989,100.0
500,0.01,7,1181,7,0.0031385714285713717,100.0
500,0.02,7,1181,7,0.0031385714285713717,100.0
500,0.05,7,1181,7,0.0031385714285713717,100.0
501,0.01,9,1181,9,0.0029833333333332884,100.0
501,0.02,9,1181,9,0.0029833333333332884,100.0
501,0.05,9,1181,9,0.0029833333333332884,100.0
502,0.01,30,1181,29,0.002441448275862047,96.66666666666667
502,0.02,30,1181,30,0.002766733333333312,100.0
502,0.05,30,1181,30,0.002766733333333312,100.0
