Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm
451,Matched,8.45463,Singlet,8.42778,Singlet,0.026849999999999596
451,Missed,1.2557033333333332,Triplet,,,
451,Missed,3.7341499999999996,Quartet,,,
451,Missed,4.721705,Doublet,,,
451,Missed,7.023553333333333,Multiplet,,,
451,Missed,7.237585,Quartet,,,
451,Spurious,,,2.97121,Singlet,
451,Spurious,,,3.67433,Singlet,
451,Spurious,,,3.79885,Singlet,
451,Spurious,,,3.887955,Doublet,
451,Spurious,,,4.227315,Doublet,
451,Spurious,,,4.31643,Singlet,
451,Spurious,,,4.615505000000001,Doublet,
451,Spurious,,,4.67043,Singlet,
451,Spurious,,,4.86819,Singlet,
451,Spurious,,,7.34379,Singlet,
451,Spurious,,,7.45121,Singlet,
451,Spurious,,,7.5183475,Quartet,
451,Spurious,,,7.5806,Singlet,
451,Spurious,,,7.62699,Singlet,
451,Spurious,,,7.983435,Doublet,
451,Spurious,,,8.0697,Triplet,
451,Spurious,,,8.38383,Singlet,
452,Matched,0.8606,Doublet,0.8634483333333333,Multiplet,0.0028483333333332306
452,Matched,1.0026088333333334,Multiplet,0.9594775,Doublet,0.04313133333333341
452,Matched,1.15723,Singlet,1.15723,Singlet,0.0
452,Matched,1.2353575,Multiplet,1.24756,Singlet,0.012202499999999894
452,Matched,1.3655650000000001,Multiplet,1.35987,Singlet,0.005695000000000228
452,Matched,1.611201111111111,Multiplet,1.58692,Singlet,0.024281111111110976
452,Matched,2.28883,Quartet,2.32423,Singlet,0.0354000000000001
452,Matched,2.40357625,Multiplet,2.36085,Singlet,0.042726249999999855
452,Matched,4.6566,Triplet,4.676534999999999,Doublet,0.01993499999999937
452,Matched,5.72024,Singlet,5.72268,Singlet,0.0024399999999999977
452,Matched,7.2668833333333325,Multiplet,7.29008,Singlet,0.0231966666666672
452,Missed,0.815434,Singlet,,,
452,Missed,1.7822370000000003,Multiplet,,,
452,Missed,2.0629975000000003,Multiplet,,,
452,Missed,3.6364924999999997,Quartet,,,
452,Spurious,,,0.697025,Doublet,
452,Spurious,,,1.0717833333333333,Triplet,
452,Spurious,,,1.41358,Singlet,
452,Spurious,,,1.67481,Singlet,
452,Spurious,,,1.72608,Doublet,
452,Spurious,,,2.1557733333333333,Triplet,
452,Spurious,,,2.63917,Singlet,
452,Spurious,,,3.55226,Singlet,
452,Spurious,,,3.71096,Singlet,
452,Spurious,,,3.84279,Singlet,
452,Spurious,,,4.25783,Singlet,
452,Spurious,,,7.21439,Doublet,
452,Spurious,,,7.8101,Singlet,
453,Matched,6.79691,Singlet,6.80912,Singlet,0.012210000000000498
453,Missed,7.30228,Singlet,,,
453,Spurious,,,6.8738150000000005,Doublet,
453,Spurious,,,7.366985,Doublet,
453,Spurious,,,7.83451,Singlet,
454,Matched,0.9692435,Doublet,0.971685,Singlet,0.0024414999999999853
454,Matched,1.20118,Singlet,1.1884076923076923,Multiplet,0.012772307692307638
454,Matched,1.4087,Singlet,1.40626,Singlet,0.0024399999999999977
454,Matched,1.91529,Doublet,1.87989,Singlet,0.035399999999999876
454,Matched,5.0342,Singlet,5.05129,Singlet,0.017089999999999606
454,Missed,3.98928,Singlet,,,
454,Missed,4.91946,Singlet,,,
454,Spurious,,,0.708011,Singlet,
454,Spurious,,,0.89111775,Quartet,
454,Spurious,,,1.030275,Doublet,
454,Spurious,,,1.08399,Singlet,
454,Spurious,,,1.296395,Doublet,
454,Spurious,,,1.36475,Singlet,
454,Spurious,,,1.48194,Singlet,
454,Spurious,,,1.70167,Singlet,
454,Spurious,,,1.78468,Doublet,
454,Spurious,,,1.9629,Doublet,
454,Spurious,,,2.38771,Singlet,
454,Spurious,,,2.49025,Singlet,
454,Spurious,,,3.4082233333333334,Triplet,
454,Spurious,,,3.61818,Singlet,
454,Spurious,,,3.6841,Doublet,
454,Spurious,,,3.78908,Singlet,
454,Spurious,,,4.05275,Singlet,
454,Spurious,,,4.17727,Singlet,
