Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm,Simulated_Area,Predicted_Area,Area_Abs_Error,Area_Pct_Error
451,Matched,1.2557033333333332,Triplet,1.25733,Singlet,0.0016266666666668872,0.007144911214709282,0.0025331329088658094,0.0046117783058434725,64.54633468851468
451,Matched,3.7341499999999996,Quartet,3.75978,Singlet,0.025630000000000486,0.004782646894454956,0.0012954681878909469,0.003487178706564009,72.91315423279681
451,Missed,4.721705,Doublet,,,,,,,
451,Missed,7.023553333333333,Multiplet,,,,,,,
451,Missed,7.237585,Quartet,,,,,,,
451,Missed,8.45463,Singlet,,,,,,,
451,Spurious,,,0.673831,Singlet,,,,,
451,Spurious,,,0.893559,Singlet,,,,,
451,Spurious,,,0.971685,Singlet,,,,,
451,Spurious,,,1.15967,Singlet,,,,,
451,Spurious,,,1.21827,Singlet,,,,,
451,Spurious,,,1.29639,Singlet,,,,,
451,Spurious,,,1.403815,Doublet,,,,,
451,Spurious,,,2.15333,Singlet,,,,,
451,Spurious,,,2.19484,Singlet,,,,,
451,Spurious,,,2.39259,Singlet,,,,,
451,Spurious,,,3.23976,Singlet,,,,,
451,Spurious,,,3.69875,Singlet,,,,,
451,Spurious,,,3.80129,Singlet,,,,,
451,Spurious,,,3.8541866666666666,Triplet,,,,,
451,Spurious,,,4.3249725,Quartet,,,,,
451,Spurious,,,4.60289,Triplet,,,,,
451,Spurious,,,7.27299,Singlet,,,,,
451,Spurious,,,7.38406875,Multiplet,,,,,
451,Spurious,,,8.07865,Singlet,,,,,
452,Matched,0.8606,Doublet,0.8995687692307693,Multiplet,0.03896876923076931,0.0021196359302848577,0.002978268079459667,0.0008586321491748095,40.50847303099915
452,Matched,1.0026088333333334,Multiplet,1.01075,Singlet,0.008141166666666644,0.004192912019789219,0.002124490449205041,0.002068421570584178,49.331384985467906
452,Matched,1.15723,Singlet,1.15967,Singlet,0.0024399999999999977,0.006184031255543232,0.0026373390574008226,0.0035466921981424093,57.352430018254374
452,Matched,1.2353575,Multiplet,1.21827,Singlet,0.017087500000000144,0.002151454333215952,0.003639368573203683,0.001487914239987731,69.15853230143286
452,Matched,2.0629975000000003,Multiplet,2.05812,Singlet,0.00487750000000009,0.0020948699675500393,0.0009524301858618855,0.0011424397816881537,54.53511670818608
452,Missed,0.815434,Singlet,,,,,,,
452,Missed,1.3655650000000001,Multiplet,,,,,,,
452,Missed,1.611201111111111,Multiplet,,,,,,,
452,Missed,1.7822370000000003,Multiplet,,,,,,,
452,Missed,2.28883,Quartet,,,,,,,
452,Missed,2.40357625,Multiplet,,,,,,,
452,Missed,3.6364924999999997,Quartet,,,,,,,
452,Missed,4.6566,Triplet,,,,,,,
452,Missed,5.72024,Singlet,,,,,,,
452,Missed,7.2668833333333325,Multiplet,,,,,,,
452,Spurious,,,0.67139,Singlet,,,,,
452,Spurious,,,1.2793,Triplet,,,,,
452,Spurious,,,1.36719,Singlet,,,,,
452,Spurious,,,1.4087,Singlet,,,,,
452,Spurious,,,1.44044,Singlet,,,,,
452,Spurious,,,2.16798,Singlet,,,,,
452,Spurious,,,3.83547,Singlet,,,,,
452,Spurious,,,4.25783,Singlet,,,,,
452,Spurious,,,7.39017,Singlet,,,,,
