Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,36,1,0.0024399999999999977,5.0
451,0.02,20,36,2,0.008545000000000025,10.0
451,0.05,20,36,6,0.021156666666666712,30.0
452,0.01,86,30,3,0.0008133333333333326,3.488372093023256
452,0.02,86,30,4,0.004272500000000012,4.651162790697675
452,0.05,86,30,7,0.013951285714285753,8.13953488372093
453,0.01,2,20,1,0.007330000000000503,50.0
453,0.02,2,20,2,0.0097700000000005,100.0
453,0.05,2,20,2,0.0097700000000005,100.0
454,0.01,9,39,2,0.0,22.22222222222222
454,0.02,9,39,3,0.004883333333333277,33.333333333333336
454,0.05,9,39,5,0.0156266,55.55555555555556
455,0.01,22,30,1,0.0,4.545454545454546
455,0.02,22,30,2,0.008545000000000025,9.090909090909092
455,0.05,22,30,2,0.008545000000000025,9.090909090909092
456,0.01,58,28,2,0.004885000000000028,3.4482758620689653
456,0.02,58,28,3,0.008140000000000036,5.172413793103448
456,0.05,58,28,5,0.02099600000000006,8.620689655172415
457,0.01,34,24,1,0.0048799999999999955,2.9411764705882355
457,0.02,34,24,1,0.0048799999999999955,2.9411764705882355
457,0.05,34,24,4,0.029907499999999976,11.764705882352942
458,0.01,30,26,0,,0.0
458,0.02,30,26,1,0.014649999999999608,3.3333333333333335
458,0.05,30,26,1,0.014649999999999608,3.3333333333333335
459,0.01,43,27,0,,0.0
459,0.02,43,27,0,,0.0
459,0.05,43,27,1,0.04394500000000001,2.3255813953488373
460,0.01,1,23,1,0.004889999999999617,100.0
460,0.02,1,23,1,0.004889999999999617,100.0
460,0.05,1,23,1,0.004889999999999617,100.0
461,0.01,18,28,5,0.0034167999999999976,27.77777777777778
461,0.02,18,28,5,0.0034167999999999976,27.77777777777778
461,0.05,18,28,8,0.014343000000000009,44.44444444444444
462,0.01,27,16,1,0.0,3.7037037037037037
462,0.02,27,16,3,0.009766666666666701,11.11111111111111
462,0.05,27,16,4,0.01587000000000005,14.814814814814815
463,0.01,39,23,5,0.0034199999999999344,12.820512820512821
463,0.02,39,23,6,0.0052916666666666945,15.384615384615385
463,0.05,39,23,10,0.016357999999999963,25.641025641025642
464,0.01,37,26,2,0.004884999999999806,5.405405405405405
464,0.02,37,26,5,0.011232000000000042,13.513513513513514
464,0.05,37,26,5,0.011232000000000042,13.513513513513514
465,0.01,97,35,5,0.0014644000000000102,5.154639175257732
465,0.02,97,35,5,0.0014644000000000102,5.154639175257732
465,0.05,97,35,7,0.012904285714285717,7.216494845360825
466,0.01,14,32,2,0.0024399999999999977,14.285714285714286
466,0.02,14,32,4,0.007325000000000026,28.571428571428573
466,0.05,14,32,5,0.011230000000000028,35.714285714285715
467,0.01,39,31,1,0.0,2.5641025641025643
467,0.02,39,31,1,0.0,2.5641025641025643
467,0.05,39,31,1,0.0,2.5641025641025643
468,0.01,32,19,0,,0.0
468,0.02,32,19,1,0.019530000000000047,3.125
468,0.05,32,19,1,0.019530000000000047,3.125
469,0.01,11,27,2,0.0048799999999999955,18.181818181818183
469,0.02,11,27,2,0.0048799999999999955,18.181818181818183
469,0.05,11,27,2,0.0048799999999999955,18.181818181818183
470,0.01,16,20,1,0.0,6.25
470,0.02,16,20,2,0.009764999999999802,12.5
470,0.05,16,20,2,0.009764999999999802,12.5
471,0.01,71,41,3,0.0040710000000000095,4.225352112676056
471,0.02,71,41,4,0.007935999999999999,5.633802816901408
471,0.05,71,41,6,0.018717,8.450704225352112
472,0.01,89,30,1,0.0024500000000000632,1.1235955056179776
472,0.02,89,30,4,0.00976775000000002,4.49438202247191
472,0.05,89,30,4,0.00976775000000002,4.49438202247191
473,0.01,24,28,4,0.003050999999999998,16.666666666666668
473,0.02,24,28,4,0.003050999999999998,16.666666666666668
473,0.05,24,28,10,0.023682000000000016,41.666666666666664
474,0.01,41,36,0,,0.0
474,0.02,41,36,1,0.014650000000000052,2.4390243902439024
474,0.05,41,36,2,0.030520000000000103,4.878048780487805
475,0.01,7,20,0,,0.0
475,0.02,7,20,0,,0.0
475,0.05,7,20,1,0.0341800000000001,14.285714285714286
476,0.01,16,29,2,0.004885000000000028,12.5
476,0.02,16,29,2,0.004885000000000028,12.5
476,0.05,16,29,2,0.004885000000000028,12.5
477,0.01,92,33,0,,0.0
477,0.02,92,33,1,0.014650000000000052,1.0869565217391304
477,0.05,92,33,1,0.014650000000000052,1.0869565217391304
478,0.01,32,27,0,,0.0
478,0.02,32,27,2,0.015869999999999607,6.25
478,0.05,32,27,2,0.015869999999999607,6.25
479,0.01,1,29,1,0.002449999999999619,100.0
479,0.02,1,29,1,0.002449999999999619,100.0
479,0.05,1,29,1,0.002449999999999619,100.0
480,0.01,19,24,1,0.0024399999999999977,5.2631578947368425
480,0.02,19,24,2,0.008545000000000025,10.526315789473685
480,0.05,19,24,4,0.01892250000000001,21.05263157894737
481,0.01,45,33,0,,0.0
481,0.02,45,33,1,0.012209999999999832,2.2222222222222223
481,0.05,45,33,2,0.021969999999999712,4.444444444444445
482,0.01,14,27,0,,0.0
482,0.02,14,27,0,,0.0
482,0.05,14,27,2,0.045165000000000344,14.285714285714286
483,0.01,8,30,1,0.0024399999999999977,12.5
483,0.02,8,30,2,0.007325000000000026,25.0
483,0.05,8,30,2,0.007325000000000026,25.0
484,0.01,42,25,4,0.004882499999999984,9.523809523809524
484,0.02,42,25,5,0.006835799999999992,11.904761904761905
484,0.05,42,25,7,0.012205571428571435,16.666666666666668
485,0.01,23,21,1,0.0,4.3478260869565215
485,0.02,23,21,2,0.009765000000000024,8.695652173913043
485,0.05,23,21,3,0.016276666666666717,13.043478260869565
486,0.01,20,18,0,,0.0
486,0.02,20,18,0,,0.0
486,0.05,20,18,1,0.024410000000000043,5.0
487,0.01,4,26,3,0.003263333333333396,75.0
487,0.02,4,26,3,0.003263333333333396,75.0
487,0.05,4,26,3,0.003263333333333396,75.0
488,0.01,11,29,2,0.007330000000000059,18.181818181818183
488,0.02,11,29,5,0.01367400000000032,45.45454545454545
488,0.05,11,29,8,0.02044875000000035,72.72727272727273
489,0.01,3,32,3,0.0,100.0
489,0.02,3,32,3,0.0,100.0
489,0.05,3,32,3,0.0,100.0
490,0.01,38,29,1,0.0024410000000000265,2.6315789473684212
490,0.02,38,29,2,0.00854550000000004,5.2631578947368425
490,0.05,38,29,4,0.020140999999999992,10.526315789473685
491,0.01,8,18,3,0.0040733333333330774,37.5
491,0.02,8,18,3,0.0040733333333330774,37.5
491,0.05,8,18,4,0.015259999999999607,50.0
492,0.01,15,30,3,0.0048799999999999955,20.0
492,0.02,15,30,4,0.006712499999999899,26.666666666666668
492,0.05,15,30,5,0.014157999999999938,33.333333333333336
493,0.01,20,24,4,0.0012199999999999989,20.0
493,0.02,20,24,5,0.0039060000000000093,25.0
493,0.05,20,24,5,0.0039060000000000093,25.0
494,0.01,9,20,1,0.004889999999999617,11.11111111111111
494,0.02,9,20,1,0.004889999999999617,11.11111111111111
494,0.05,9,20,1,0.004889999999999617,11.11111111111111
495,0.01,8,15,1,0.0024500000000000632,12.5
495,0.02,8,15,1,0.0024500000000000632,12.5
495,0.05,8,15,1,0.0024500000000000632,12.5
496,0.01,94,33,2,0.0012199999999999989,2.127659574468085
496,0.02,94,33,2,0.0012199999999999989,2.127659574468085
496,0.05,94,33,5,0.020022000000000074,5.319148936170213
497,0.01,20,34,1,0.0024399999999999977,5.0
497,0.02,20,34,1,0.0024399999999999977,5.0
497,0.05,20,34,5,0.03320399999999997,25.0
498,0.01,14,25,0,,0.0
498,0.02,14,25,1,0.019530000000000047,7.142857142857143
498,0.05,14,25,1,0.019530000000000047,7.142857142857143
499,0.01,4,18,0,,0.0
499,0.02,4,18,0,,0.0
499,0.05,4,18,2,0.025635000000000074,50.0
500,0.01,7,17,0,,0.0
500,0.02,7,17,0,,0.0
500,0.05,7,17,0,,0.0
501,0.01,9,23,3,0.005700000000000334,33.333333333333336
501,0.02,9,23,5,0.009278000000000208,55.55555555555556
501,0.05,9,23,6,0.01424333333333346,66.66666666666667
502,0.01,30,36,0,,0.0
502,0.02,30,36,1,0.01709000000000005,3.3333333333333335
502,0.05,30,36,3,0.03011199999999999,10.0
