Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm
451,Matched,1.2557033333333332,Triplet,1.239262,Multiplet,0.016441333333333086
451,Matched,3.7341499999999996,Quartet,3.7597833333333335,Triplet,0.02563333333333384
451,Matched,4.721705,Doublet,4.712426000000001,Multiplet,0.009278999999999371
451,Matched,7.237585,Quartet,7.226595,Doublet,0.0109900000000005
451,Matched,8.45463,Singlet,8.45036,Quartet,0.004269999999999996
451,Missed,7.023553333333333,Multiplet,,,
452,Matched,0.815434,Singlet,0.783695,Singlet,0.03173899999999996
452,Matched,0.8606,Doublet,0.822758,Doublet,0.03784200000000004
452,Matched,1.15723,Singlet,1.1572333333333333,Triplet,3.3333333333551707e-06
452,Matched,3.6364924999999997,Quartet,3.638935,Doublet,0.002442500000000347
452,Matched,5.72024,Singlet,5.72024,Singlet,0.0
452,Matched,7.2668833333333325,Multiplet,7.262,Quartet,0.0048833333333329065
452,Missed,1.0026088333333334,Multiplet,,,
452,Missed,1.2353575,Multiplet,,,
452,Missed,1.3655650000000001,Multiplet,,,
452,Missed,1.611201111111111,Multiplet,,,
452,Missed,1.7822370000000003,Multiplet,,,
452,Missed,2.0629975000000003,Multiplet,,,
452,Missed,2.28883,Quartet,,,
452,Missed,2.40357625,Multiplet,,,
452,Missed,4.6566,Triplet,,,
453,Matched,6.79691,Singlet,6.79691,Doublet,0.0
453,Matched,7.30228,Singlet,7.30472,Singlet,0.0024399999999999977
454,Matched,1.20118,Singlet,1.20362,Singlet,0.0024399999999999977
454,Matched,1.4087,Singlet,1.41114,Singlet,0.0024399999999999977
454,Missed,0.9692435,Doublet,,,
454,Missed,1.91529,Doublet,,,
454,Missed,3.98928,Singlet,,,
454,Missed,4.91946,Singlet,,,
454,Missed,5.0342,Singlet,,,
455,Matched,1.1108449999999999,Doublet,1.1284239999999999,Multiplet,0.01757900000000001
455,Matched,2.3632925,Quartet,2.32667,Singlet,0.0366225
455,Matched,2.7758933333333338,Triplet,2.76857,Triplet,0.0073233333333337924
455,Matched,5.423437142857142,Multiplet,5.42727,Singlet,0.0038328571428580815
455,Missed,1.14991,Singlet,,,
455,Missed,2.286385,Doublet,,,
455,Missed,6.0775033333333335,Triplet,,,
456,Matched,3.6712825000000002,Quartet,3.6426,Singlet,0.028682500000000388
456,Matched,3.8843,Singlet,3.8916233333333334,Triplet,0.007323333333333348
456,Matched,4.521996,Multiplet,4.519064999999999,Doublet,0.002931000000000239
456,Missed,3.0520775,Multiplet,,,
456,Missed,3.18605,Doublet,,,
456,Missed,3.2714999999999996,Quartet,,,
456,Missed,3.364275,Doublet,,,
456,Missed,3.50197,Multiplet,,,
456,Missed,3.596616666666666,Multiplet,,,
456,Missed,3.931295,Quartet,,,
456,Missed,4.107685,Doublet,,,
456,Missed,4.414085,Doublet,,,
456,Missed,4.6313725,Quartet,,,
456,Missed,4.917015,Doublet,,,
456,Missed,7.042275,Doublet,,,
456,Missed,7.286415,Doublet,,,
456,Missed,7.50492,Singlet,,,
456,Missed,7.9260649999999995,Doublet,,,
457,Matched,2.08009,Singlet,2.08009,Singlet,0.0
457,Matched,2.393078,Multiplet,2.401745,Quartet,0.00866699999999998
457,Matched,2.5431433333333335,Triplet,2.54884,Singlet,0.005696666666666683
457,Matched,2.9589999999999996,Triplet,2.959,Singlet,4.440892098500626e-16
457,Matched,3.9192933333333335,Triplet,3.91848,Doublet,0.0008133333333333326
457,Matched,4.311543333333334,Triplet,4.31399,Singlet,0.002446666666666708
457,Matched,7.036865714285715,Multiplet,7.02152,Singlet,0.015345714285714962
457,Missed,1.77003,Triplet,,,
457,Missed,7.135045,Doublet,,,
457,Missed,7.201575000000001,Quartet,,,
457,Spurious,,,2.50978,Singlet,
458,Matched,3.37648,Singlet,3.37648,Singlet,0.0
458,Matched,7.28275,Doublet,7.25834,Singlet,0.024410000000000487
458,Matched,7.3975,Singlet,7.39262,Singlet,0.0048799999999999955
458,Matched,8.64262,Singlet,8.64018,Singlet,0.0024399999999999977
458,Matched,9.95855,Singlet,9.96099,Singlet,0.0024399999999999977
458,Missed,3.6102475000000003,Quartet,,,
458,Missed,3.8311975,Quartet,,,
458,Missed,4.1467475,Quartet,,,
458,Missed,4.4128625,Quartet,,,
458,Missed,4.4905800000000005,Triplet,,,
458,Missed,7.5806,Singlet,,,
458,Missed,7.74784,Doublet,,,
458,Missed,8.183635,Doublet,,,
459,Matched,1.01563,Singlet,1.01563,Doublet,0.0
459,Matched,1.330575,Doublet,1.36719,Singlet,0.03661499999999984
459,Matched,1.49659,Doublet,1.49781,Doublet,0.0012199999999999989
459,Matched,2.09962,Singlet,2.0984,Doublet,0.0012199999999999989
459,Matched,6.10599,Singlet,6.10599,Singlet,0.0
459,Missed,1.8951524999999998,Quartet,,,
459,Missed,2.1892557142857143,Multiplet,,,
459,Missed,2.2961549999999997,Doublet,,,
459,Missed,2.436536,Multiplet,,,
459,Missed,2.66115,Singlet,,,
459,Missed,3.3724133333333337,Triplet,,,
459,Missed,4.2859125,Quartet,,,
459,Missed,4.4391075,Quartet,,,
459,Missed,6.268345,Doublet,,,
459,Missed,7.2394175,Quartet,,,
460,Matched,7.5684,Singlet,7.567175,Doublet,0.0012249999999998096
461,Matched,0.8870486666666667,Triplet,0.8870486666666667,Triplet,0.0
461,Matched,1.267705,Quartet,1.2727933333333334,Triplet,0.005088333333333361
461,Missed,1.4062599999999998,Triplet,,,
461,Missed,1.78712,Triplet,,,
461,Missed,4.318056666666667,Triplet,,,
461,Missed,7.4683,Singlet,,,
461,Missed,7.64896,Singlet,,,
462,Matched,7.2293449999999995,Multiplet,7.2269025,Multiplet,0.002442499999999903
462,Matched,8.37407,Singlet,8.37651,Singlet,0.0024399999999999977
462,Missed,2.5958375,Quartet,,,
462,Missed,2.8442525,Quartet,,,
462,Missed,4.582545,Doublet,,,
462,Missed,4.7235325,Quartet,,,
462,Missed,5.795925,Doublet,,,
462,Missed,7.6172249999999995,Doublet,,,
463,Matched,2.3861825,Multiplet,2.3907575000000003,Quartet,0.00457500000000044
463,Missed,1.77003,Triplet,,,
463,Missed,2.67254,Triplet,,,
463,Missed,3.622455,Quartet,,,
463,Missed,3.7939633333333336,Triplet,,,
463,Missed,3.9192933333333335,Triplet,,,
463,Missed,7.03098,Multiplet,,,
463,Missed,7.186838571428571,Multiplet,,,
464,Matched,1.2679099999999999,Triplet,1.279302,Multiplet,0.011392000000000069
464,Matched,1.92579,Multiplet,1.92628,Singlet,0.0004900000000001015
464,Matched,2.4902466666666663,Triplet,2.485365,Doublet,0.004881666666666451
464,Matched,3.2715,Doublet,3.2768699999999997,Multiplet,0.005369999999999653
464,Matched,3.5864433333333334,Triplet,3.58889,Singlet,0.002446666666666708
464,Matched,4.100604000000001,Multiplet,4.10402,Singlet,0.0034159999999996415
464,Matched,7.46237,Multiplet,7.444496249999999,Multiplet,0.017873750000000577
