Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,19,8,0.003967499999999985,40.0
451,0.02,20,19,8,0.003967499999999985,40.0
451,0.05,20,19,9,0.006782222222222221,45.0
452,0.01,86,13,8,0.004271249999999949,9.30232558139535
452,0.02,86,13,8,0.004271249999999949,9.30232558139535
452,0.05,86,13,12,0.015665249999999964,13.953488372093023
453,0.01,2,3,2,0.0024399999999999977,100.0
453,0.02,2,3,2,0.0024399999999999977,100.0
453,0.05,2,3,2,0.0024399999999999977,100.0
454,0.01,9,2,2,0.0024399999999999977,22.22222222222222
454,0.02,9,2,2,0.0024399999999999977,22.22222222222222
454,0.05,9,2,2,0.0024399999999999977,22.22222222222222
455,0.01,22,10,5,0.0029279999999999974,22.727272727272727
455,0.02,22,10,6,0.004475000000000007,27.272727272727273
455,0.05,22,10,8,0.009155000000000024,36.36363636363637
456,0.01,58,6,3,0.005693333333333328,5.172413793103448
456,0.02,58,6,4,0.007929999999999993,6.896551724137931
456,0.05,58,6,6,0.013018333333333354,10.344827586206897
457,0.01,34,12,9,0.0035266666666667274,26.470588235294116
457,0.02,34,12,11,0.005992727272727291,32.35294117647059
457,0.05,34,12,12,0.00752750000000002,35.294117647058826
458,0.01,30,5,4,0.0024399999999999977,13.333333333333334
458,0.02,30,5,5,0.005858000000000097,16.666666666666668
458,0.05,30,5,5,0.005858000000000097,16.666666666666668
459,0.01,43,8,5,0.0029279999999999974,11.627906976744185
459,0.02,43,8,5,0.0029279999999999974,11.627906976744185
459,0.05,43,8,7,0.012902857142857136,16.27906976744186
460,0.01,1,2,1,0.0024399999999999977,100.0
460,0.02,1,2,1,0.0024399999999999977,100.0
460,0.05,1,2,1,0.0024399999999999977,100.0
461,0.01,18,6,6,0.0008133333333333326,33.333333333333336
461,0.02,18,6,6,0.0008133333333333326,33.333333333333336
461,0.05,18,6,6,0.0008133333333333326,33.333333333333336
462,0.01,27,9,5,0.003908000000000023,18.51851851851852
462,0.02,27,9,8,0.008546250000000088,29.62962962962963
462,0.05,27,9,9,0.012751111111111157,33.333333333333336
463,0.01,39,4,4,0.0018324999999999037,10.256410256410257
463,0.02,39,4,4,0.0018324999999999037,10.256410256410257
463,0.05,39,4,4,0.0018324999999999037,10.256410256410257
464,0.01,37,29,20,0.0039059999999999763,54.054054054054056
464,0.02,37,29,22,0.004993636363636306,59.45945945945946
464,0.05,37,29,24,0.007934166666666584,64.86486486486487
465,0.01,97,27,15,0.003091333333333335,15.463917525773196
465,0.02,97,27,16,0.004118812500000006,16.49484536082474
465,0.05,97,27,19,0.010407210526315798,19.587628865979383
466,0.01,14,9,4,0.0024399999999999977,28.571428571428573
466,0.02,14,9,5,0.004882000000000009,35.714285714285715
466,0.05,14,9,7,0.013251428571428596,50.0
467,0.01,39,8,7,0.00278900000000001,17.94871794871795
467,0.02,39,8,7,0.00278900000000001,17.94871794871795
467,0.05,39,8,7,0.00278900000000001,17.94871794871795
468,0.01,32,13,7,0.0034871428571428,21.875
468,0.02,32,13,7,0.0034871428571428,21.875
468,0.05,32,13,7,0.0034871428571428,21.875
469,0.01,11,6,1,0.007319999999999993,9.090909090909092
469,0.02,11,6,1,0.007319999999999993,9.090909090909092
469,0.05,11,6,2,0.01709000000000005,18.181818181818183
470,0.01,16,14,2,0.0024399999999999977,12.5
470,0.02,16,14,2,0.0024399999999999977,12.5
470,0.05,16,14,4,0.012817499999999926,25.0
471,0.01,71,14,4,0.004883749999999909,5.633802816901408
471,0.02,71,14,5,0.007324999999999915,7.042253521126761
471,0.05,71,14,7,0.01430028571428567,9.859154929577464
472,0.01,89,35,14,0.004184428571428581,15.730337078651685
472,0.02,89,35,16,0.0054924375000000095,17.97752808988764
472,0.05,89,35,17,0.007467117647058835,19.10112359550562
473,0.01,24,21,14,0.002093142857142865,58.333333333333336
473,0.02,24,21,15,0.0029302666666666624,62.5
473,0.05,24,21,17,0.006894352941176456,70.83333333333333
474,0.01,41,11,8,0.003052874999999969,19.51219512195122
474,0.02,41,11,8,0.003052874999999969,19.51219512195122
474,0.05,41,11,9,0.005969222222222206,21.951219512195124
475,0.01,7,15,7,0.0034899999999999614,100.0
475,0.02,7,15,7,0.0034899999999999614,100.0
475,0.05,7,15,7,0.0034899999999999614,100.0
476,0.01,16,8,6,0.0032549999999999337,37.5
476,0.02,16,8,6,0.0032549999999999337,37.5
476,0.05,16,8,6,0.0032549999999999337,37.5
477,0.01,92,27,18,0.0031200000000000117,19.565217391304348
477,0.02,92,27,21,0.004766666666666723,22.82608695652174
477,0.05,92,27,23,0.0072182608695652685,25.0
478,0.01,32,6,4,0.002442500000000125,12.5
478,0.02,32,6,4,0.002442500000000125,12.5
478,0.05,32,6,4,0.002442500000000125,12.5
479,0.01,1,3,1,0.0024399999999999977,100.0
479,0.02,1,3,1,0.0024399999999999977,100.0
479,0.05,1,3,1,0.0024399999999999977,100.0
480,0.01,19,9,6,0.002850000000000019,31.57894736842105
480,0.02,19,9,7,0.0041871428571428814,36.8421052631579
480,0.05,19,9,7,0.0041871428571428814,36.8421052631579
481,0.01,45,9,2,0.0012205000000000132,4.444444444444445
481,0.02,45,9,2,0.0012205000000000132,4.444444444444445
481,0.05,45,9,2,0.0012205000000000132,4.444444444444445
482,0.01,14,18,5,0.003906000000000098,35.714285714285715
482,0.02,14,18,6,0.005290000000000165,42.857142857142854
482,0.05,14,18,10,0.01464900000000018,71.42857142857143
483,0.01,8,3,3,0.0016266666666666652,37.5
483,0.02,8,3,3,0.0016266666666666652,37.5
483,0.05,8,3,3,0.0016266666666666652,37.5
484,0.01,42,10,3,0.0024406666666666834,7.142857142857143
484,0.02,42,10,4,0.006713500000000011,9.523809523809524
484,0.05,42,10,7,0.019879714285714317,16.666666666666668
485,0.01,23,18,9,0.0010844444444444434,39.130434782608695
485,0.02,23,18,10,0.0026850000000000485,43.47826086956522
485,0.05,23,18,12,0.0058991666666666775,52.17391304347826
486,0.01,20,23,3,0.004066666666666663,15.0
486,0.02,20,23,3,0.004066666666666663,15.0
486,0.05,20,23,8,0.022277500000000006,40.0
487,0.01,4,8,4,0.0024399999999999977,100.0
487,0.02,4,8,4,0.0024399999999999977,100.0
487,0.05,4,8,4,0.0024399999999999977,100.0
488,0.01,11,17,11,0.0017763636363635658,100.0
488,0.02,11,17,11,0.0017763636363635658,100.0
488,0.05,11,17,11,0.0017763636363635658,100.0
489,0.01,3,5,3,0.0008133333333333326,100.0
489,0.02,3,5,3,0.0008133333333333326,100.0
489,0.05,3,5,3,0.0008133333333333326,100.0
490,0.01,38,7,6,0.0028476666666666373,15.789473684210526
490,0.02,38,7,7,0.0041851428571428395,18.42105263157895
490,0.05,38,7,7,0.0041851428571428395,18.42105263157895
491,0.01,8,13,6,0.0028516666666666226,75.0
491,0.02,8,13,7,0.004885714285714319,87.5
491,0.05,8,13,8,0.00732625000000009,100.0
492,0.01,15,34,12,0.0018324999999999037,80.0
492,0.02,15,34,15,0.004395999999999963,100.0
492,0.05,15,34,15,0.004395999999999963,100.0
493,0.01,20,7,7,0.0006971428571428565,35.0
493,0.02,20,7,7,0.0006971428571428565,35.0
493,0.05,20,7,7,0.0006971428571428565,35.0
494,0.01,9,16,9,0.0029833333333334857,100.0
494,0.02,9,16,9,0.0029833333333334857,100.0
494,0.05,9,16,9,0.0029833333333334857,100.0
495,0.01,8,6,2,0.006099999999999994,25.0
495,0.02,8,6,3,0.009763333333333346,37.5
495,0.05,8,6,3,0.009763333333333346,37.5
496,0.01,94,27,24,0.0027464583333333217,25.53191489361702
496,0.02,94,27,25,0.003124999999999991,26.595744680851062
496,0.05,94,27,27,0.004611296296296291,28.72340425531915
497,0.01,20,9,1,0.0048799999999999955,5.0
497,0.02,20,9,3,0.010576666666666604,15.0
497,0.05,20,9,4,0.01586749999999998,20.0
498,0.01,14,13,4,0.0018299999999999983,28.571428571428573
498,0.02,14,13,5,0.0039060000000000093,35.714285714285715
498,0.05,14,13,6,0.008138333333333322,42.857142857142854
499,0.01,4,8,1,0.0024399999999999977,25.0
499,0.02,4,8,2,0.007325000000000026,50.0
499,0.05,4,8,2,0.007325000000000026,50.0
500,0.01,7,6,1,0.009759999999999991,14.285714285714286
500,0.02,7,6,1,0.009759999999999991,14.285714285714286
500,0.05,7,6,4,0.025632499999999947,57.142857142857146
501,0.01,9,7,3,0.0024399999999999977,33.333333333333336
501,0.02,9,7,3,0.0024399999999999977,33.333333333333336
501,0.05,9,7,3,0.0024399999999999977,33.333333333333336
502,0.01,30,11,1,0.0,3.3333333333333335
502,0.02,30,11,3,0.010579333333333349,10.0
502,0.05,30,11,5,0.019041599999999992,16.666666666666668
