Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm,Simulated_Area,Predicted_Area,Area_Abs_Error,Area_Pct_Error
451,Matched,1.2557033333333332,Triplet,1.2703499999999999,Multiplet,0.014646666666666697,0.007144911214709282,0.00558097567409277,0.0015639355406165123,21.888803004253244
451,Matched,3.7341499999999996,Quartet,3.7475775000000002,Quartet,0.013427500000000592,0.004782646894454956,0.0027412816416472197,0.0020413652528077364,42.68275074153004
451,Matched,4.721705,Doublet,4.705590000000001,Multiplet,0.016114999999999213,0.004742474295198917,0.0029366849921643734,0.001805789303034544,38.07694445202686
451,Matched,7.237585,Quartet,7.23636,Singlet,0.0012249999999998096,0.004752681124955416,0.00225840718485415,0.002494273940101266,52.4814073261577
451,Matched,8.45463,Singlet,8.446085,Doublet,0.008544999999999803,0.004714141599833965,0.004423174075782299,0.00029096752405166626,6.17222707230335
451,Missed,7.023553333333333,Multiplet,,,,,,,
452,Matched,0.815434,Singlet,0.8170613333333333,Triplet,0.001627333333333314,0.0061993226408958435,0.0026497510261833668,0.0035495716147124767,57.257410532185816
452,Matched,1.15723,Singlet,1.1572333333333333,Triplet,3.3333333333551707e-06,0.006184031255543232,0.003276997245848179,0.002907034009695053,47.00872116532805
452,Matched,3.6364924999999997,Quartet,3.638935,Doublet,0.002442500000000347,0.0041876668110489845,0.0020932042971253395,0.002094462513923645,50.01502288571509
452,Matched,7.2668833333333325,Multiplet,7.25834,Triplet,0.008543333333332903,0.010420501232147217,0.007031857967376709,0.003388643264770508,32.519004501593
452,Missed,0.8606,Doublet,,,,,,,
452,Missed,1.0026088333333334,Multiplet,,,,,,,
452,Missed,1.2353575,Multiplet,,,,,,,
452,Missed,1.3655650000000001,Multiplet,,,,,,,
452,Missed,1.611201111111111,Multiplet,,,,,,,
452,Missed,1.7822370000000003,Multiplet,,,,,,,
452,Missed,2.0629975000000003,Multiplet,,,,,,,
452,Missed,2.28883,Quartet,,,,,,,
452,Missed,2.40357625,Multiplet,,,,,,,
452,Missed,4.6566,Triplet,,,,,,,
452,Missed,5.72024,Singlet,,,,,,,
453,Matched,6.79691,Singlet,6.79691,Doublet,0.0,0.003556199371814728,0.0024256440810859203,0.0011305552907288074,31.79111102963514
453,Matched,7.30228,Singlet,7.30472,Singlet,0.0024399999999999977,0.0035567977465689182,0.003300286829471588,0.0002565109170973301,7.211849966582288
454,Matched,1.20118,Singlet,1.20362,Singlet,0.0024399999999999977,0.003933433443307877,0.005378426983952522,0.0014449935406446457,36.736188916659486
454,Missed,0.9692435,Doublet,,,,,,,
454,Missed,1.4087,Singlet,,,,,,,
454,Missed,1.91529,Doublet,,,,,,,
454,Missed,3.98928,Singlet,,,,,,,
454,Missed,4.91946,Singlet,,,,,,,
454,Missed,5.0342,Singlet,,,,,,,
455,Matched,1.14991,Singlet,1.1325124999999998,Multiplet,0.017397500000000177,0.006265350617468357,0.006095331162214279,0.0001700194552540779,2.713646300656319
455,Matched,2.286385,Doublet,2.319345,Doublet,0.0329600000000001,0.0020908378064632416,0.0011776547180488706,0.000913183088414371,43.675462802113124
455,Matched,2.7758933333333338,Triplet,2.7661275,Quartet,0.009765833333333696,0.006265677511692047,0.0050588324666023254,0.0012068450450897217,19.26120587658226
455,Matched,5.423437142857142,Multiplet,5.430935,Doublet,0.007497857142857889,0.004212694708257914,0.003467428032308817,0.0007452666759490967,17.69097282288677
455,Missed,1.1108449999999999,Doublet,,,,,,,
455,Missed,2.3632925,Quartet,,,,,,,
455,Missed,6.0775033333333335,Triplet,,,,,,,
456,Matched,3.6712825000000002,Quartet,3.6426,Singlet,0.028682500000000388,0.001217170967720449,0.0010278855916112661,0.00018928537610918283,15.55125624329355
456,Matched,3.8843,Singlet,3.8897899999999996,Quartet,0.005489999999999551,0.0035679293796420097,0.0041015008464455605,0.0005335714668035507,14.954653246446457
456,Matched,4.521996,Multiplet,4.51662,Singlet,0.005376000000000047,0.0036115101538598537,0.0019439898896962404,0.0016675202641636133,46.1723819987444
456,Missed,3.0520775,Multiplet,,,,,,,
456,Missed,3.18605,Doublet,,,,,,,
