Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm
451,Matched,1.2557033333333332,Triplet,1.2548899999999998,Triplet,0.0008133333333333326
451,Matched,3.7341499999999996,Quartet,3.7264166666666667,Triplet,0.007733333333332926
451,Matched,4.721705,Doublet,4.721705,Doublet,0.0
451,Matched,7.023553333333333,Multiplet,7.03861,Singlet,0.015056666666667162
451,Matched,7.237585,Quartet,7.23392,Singlet,0.0036649999999998073
451,Matched,8.45463,Singlet,8.45219,Singlet,0.0024399999999999977
452,Matched,0.815434,Singlet,0.815434,Singlet,0.0
452,Matched,0.8606,Doublet,0.854496,Singlet,0.006103999999999998
452,Matched,1.0026088333333334,Multiplet,1.00586,Singlet,0.003251166666666583
452,Matched,1.15723,Singlet,1.15357,Doublet,0.0036599999999999966
452,Matched,1.611201111111111,Multiplet,1.65772,Singlet,0.046518888888889
452,Matched,1.7822370000000003,Multiplet,1.75782,Singlet,0.024417000000000355
452,Matched,2.40357625,Multiplet,2.37062,Singlet,0.0329562499999998
452,Matched,3.6364924999999997,Quartet,3.63771,Singlet,0.0012175000000005376
452,Matched,4.6566,Triplet,4.65578,Singlet,0.0008200000000000429
452,Matched,5.72024,Singlet,5.72024,Singlet,0.0
452,Matched,7.2668833333333325,Multiplet,7.2559,Singlet,0.0109833333333329
452,Missed,1.2353575,Multiplet,,,
452,Missed,1.3655650000000001,Multiplet,,,
452,Missed,2.0629975000000003,Multiplet,,,
452,Missed,2.28883,Quartet,,,
452,Spurious,,,1.55762,Singlet,
453,Matched,6.79691,Singlet,6.79691,Singlet,0.0
453,Matched,7.30228,Singlet,7.30228,Singlet,0.0
454,Matched,0.9692435,Doublet,0.966802,Singlet,0.0024414999999999853
454,Matched,1.20118,Singlet,1.197515,Doublet,0.0036649999999998073
454,Matched,1.4087,Singlet,1.4087,Singlet,0.0
454,Matched,3.98928,Singlet,3.98928,Singlet,0.0
454,Missed,1.91529,Doublet,,,
454,Missed,4.91946,Singlet,,,
454,Missed,5.0342,Singlet,,,
454,Spurious,,,2.16554,Singlet,
455,Matched,1.1108449999999999,Doublet,1.1295633333333335,Triplet,0.018718333333333614
455,Matched,2.286385,Doublet,2.31691,Singlet,0.030524999999999913
455,Matched,2.7758933333333338,Triplet,2.7758933333333338,Triplet,0.0
455,Matched,5.423437142857142,Multiplet,5.423203333333333,Triplet,0.00023380952380858133
455,Matched,6.0775033333333335,Triplet,6.07669,Singlet,0.0008133333333333326
455,Missed,1.14991,Singlet,,,
455,Missed,2.3632925,Quartet,,,
456,Matched,3.0520775,Multiplet,3.03712,Singlet,0.014957500000000401
456,Matched,3.50197,Multiplet,3.50099,Singlet,0.000980000000000203
456,Matched,3.6712825000000002,Quartet,3.64504,Singlet,0.02624250000000039
456,Matched,3.8843,Singlet,3.8843,Singlet,0.0
456,Matched,4.107685,Doublet,4.10402,Singlet,0.0036649999999998073
456,Matched,4.414085,Doublet,4.4092,Singlet,0.004884999999999806
456,Matched,4.521996,Multiplet,4.539815,Doublet,0.01781900000000025
456,Matched,4.6313725,Quartet,4.63625,Singlet,0.00487750000000009
456,Matched,4.917015,Doublet,4.915795,Doublet,0.0012199999999999989
456,Matched,7.286415,Doublet,7.27787,Singlet,0.008544999999999803
456,Matched,7.50492,Singlet,7.50736,Singlet,0.0024399999999999977
456,Matched,7.9260649999999995,Doublet,7.9272849999999995,Doublet,0.0012199999999999989
456,Missed,3.18605,Doublet,,,
456,Missed,3.2714999999999996,Quartet,,,
456,Missed,3.364275,Doublet,,,
456,Missed,3.596616666666666,Multiplet,,,
456,Missed,3.931295,Quartet,,,
456,Missed,7.042275,Doublet,,,
457,Matched,1.77003,Triplet,1.77369,Doublet,0.0036599999999999966
457,Matched,2.08009,Singlet,2.08009,Singlet,0.0
457,Matched,2.393078,Multiplet,2.393815,Doublet,0.0007369999999999877
457,Matched,2.5431433333333335,Triplet,2.530535,Doublet,0.012608333333333555
457,Matched,2.9589999999999996,Triplet,2.9589999999999996,Triplet,0.0
457,Matched,3.9192933333333335,Triplet,3.920106666666667,Triplet,0.0008133333333333326
457,Matched,4.311543333333334,Triplet,4.312360000000001,Triplet,0.0008166666666671318
457,Matched,7.036865714285715,Multiplet,7.03861,Doublet,0.0017442857142855317
457,Matched,7.201575000000001,Quartet,7.21683,Singlet,0.015254999999998908
457,Missed,7.135045,Doublet,,,
458,Matched,3.37648,Singlet,3.37648,Singlet,0.0
458,Matched,3.6102475000000003,Quartet,3.60353,Singlet,0.006717500000000154
458,Matched,4.4128625,Quartet,4.42385,Singlet,0.010987499999999706
458,Matched,4.4905800000000005,Triplet,4.48244,Singlet,0.008140000000000036
458,Matched,7.28275,Doublet,7.28519,Singlet,0.0024399999999999977
458,Matched,7.3975,Singlet,7.3975,Singlet,0.0
458,Matched,7.5806,Singlet,7.5806,Singlet,0.0
458,Matched,7.74784,Doublet,7.75639,Singlet,0.008549999999999613
458,Matched,8.183635,Doublet,8.18363,Singlet,4.999999999810711e-06
458,Matched,8.64262,Singlet,8.64262,Singlet,0.0
458,Matched,9.95855,Singlet,9.95855,Singlet,0.0
458,Missed,3.8311975,Quartet,,,
458,Missed,4.1467475,Quartet,,,
459,Matched,1.01563,Singlet,1.01563,Singlet,0.0
459,Matched,1.330575,Doublet,1.329355,Doublet,0.0012199999999999989
459,Matched,1.49659,Doublet,1.50147,Singlet,0.0048799999999999955
459,Matched,2.09962,Singlet,2.09962,Singlet,0.0
459,Matched,2.1892557142857143,Multiplet,2.20704,Singlet,0.017784285714285808
459,Matched,2.436536,Multiplet,2.4463,Singlet,0.009764000000000106
459,Matched,3.3724133333333337,Triplet,3.3764849999999997,Doublet,0.0040716666666660295
459,Matched,4.4391075,Quartet,4.431175,Doublet,0.007932500000000786
459,Matched,6.10599,Singlet,6.10599,Singlet,0.0
459,Matched,6.268345,Doublet,6.268345,Doublet,0.0
459,Matched,7.2394175,Quartet,7.23392,Singlet,0.005497499999999711
459,Missed,1.8951524999999998,Quartet,,,
459,Missed,2.2961549999999997,Doublet,,,
459,Missed,2.66115,Singlet,,,
459,Missed,4.2859125,Quartet,,,
460,Matched,7.5684,Singlet,7.5684,Singlet,0.0
461,Matched,0.8870486666666667,Triplet,0.8870486666666667,Triplet,0.0
461,Matched,1.267705,Quartet,1.2760466666666668,Triplet,0.008341666666666692
461,Matched,1.78712,Triplet,1.78712,Singlet,0.0
461,Matched,4.318056666666667,Triplet,4.318056666666667,Triplet,0.0
461,Missed,1.4062599999999998,Triplet,,,
461,Missed,7.4683,Singlet,,,
461,Missed,7.64896,Singlet,,,
462,Matched,2.5958375,Quartet,2.57814,Singlet,0.017697500000000144
462,Matched,5.795925,Doublet,5.797145,Doublet,0.0012199999999999989
462,Matched,7.2293449999999995,Multiplet,7.254675,Doublet,0.025330000000000297
462,Matched,7.6172249999999995,Doublet,7.62211,Singlet,0.004885000000000694
462,Matched,8.37407,Singlet,8.37407,Singlet,0.0
462,Missed,2.8442525,Quartet,,,
462,Missed,4.582545,Doublet,,,
462,Missed,4.7235325,Quartet,,,
462,Spurious,,,4.70461,Singlet,
462,Spurious,,,7.181836666666666,Triplet,
463,Matched,1.77003,Triplet,1.774915,Doublet,0.004885000000000028
463,Matched,2.3861825,Multiplet,2.38038,Singlet,0.005802499999999711
463,Matched,2.67254,Triplet,2.678235,Doublet,0.005694999999999784
463,Matched,3.622455,Quartet,3.61818,Singlet,0.004274999999999807
463,Matched,3.9192933333333335,Triplet,3.920106666666667,Triplet,0.0008133333333333326
463,Matched,7.03098,Multiplet,7.041055,Doublet,0.0100750000000005
463,Missed,3.7939633333333336,Triplet,,,
463,Missed,7.186838571428571,Multiplet,,,
464,Matched,1.2679099999999999,Triplet,1.26954,Triplet,0.0016300000000000203
464,Matched,1.92579,Multiplet,1.93116,Singlet,0.005370000000000097
464,Matched,2.4902466666666663,Triplet,2.49025,Singlet,3.33333333379926e-06
464,Matched,3.2715,Doublet,3.2715,Doublet,0.0
464,Matched,3.5864433333333334,Triplet,3.58644,Singlet,3.3333333333551707e-06
464,Matched,4.100604000000001,Multiplet,4.09426,Singlet,0.006344000000000349
464,Matched,7.367386666666667,Triplet,7.407263333333333,Triplet,0.03987666666666545
464,Matched,7.46237,Multiplet,7.4927150000000005,Doublet,0.03034500000000051
464,Matched,7.89677,Quartet,7.889445,Doublet,0.007324999999999804
464,Matched,7.9675650000000005,Doublet,7.97367,Singlet,0.006104999999999805
464,Spurious,,,7.53666,Singlet,
464,Spurious,,,7.93461,Singlet,
465,Matched,0.742191,Singlet,0.742191,Singlet,0.0
465,Matched,0.872807,Multiplet,0.8886762500000001,Quartet,0.015869250000000057
465,Matched,1.1466566666666667,Triplet,1.18653,Singlet,0.03987333333333343
465,Matched,1.3347229999999999,Multiplet,1.31837,Singlet,0.01635299999999984
465,Matched,2.248546,Multiplet,2.2461,Singlet,0.002445999999999948
465,Matched,2.3891739999999997,Multiplet,2.37062,Singlet,0.018553999999999515
465,Matched,3.176285,Doublet,3.175065,Doublet,0.0012199999999999989
465,Matched,3.536395,Quartet,3.52541,Singlet,0.010985000000000245
465,Matched,3.912375,Doublet,3.91604,Singlet,0.0036650000000002514
465,Missed,1.6912814545454549,Multiplet,,,
465,Missed,3.601095,Doublet,,,
465,Missed,3.780535,Doublet,,,
465,Spurious,,,1.53077,Singlet,
465,Spurious,,,1.58204,Singlet,
465,Spurious,,,1.64063,Singlet,
465,Spurious,,,1.77979,Singlet,
465,Spurious,,,3.6145199999999997,Doublet,
466,Matched,1.32325,Singlet,1.32325,Singlet,0.0
466,Matched,2.86867,Singlet,2.86867,Singlet,0.0
466,Matched,3.573423333333333,Triplet,3.571795,Doublet,0.0016283333333331207
466,Matched,3.83547,Singlet,3.85256,Triplet,0.01709000000000005
466,Matched,3.9764599999999994,Quartet,3.97951,Triplet,0.0030500000000004412
466,Matched,4.03566,Singlet,4.03566,Singlet,0.0
466,Matched,7.03617,Singlet,7.03617,Singlet,0.0
466,Matched,7.21927,Singlet,7.21927,Singlet,0.0
466,Missed,3.87209,Singlet,,,
467,Matched,0.9692435,Doublet,0.969243,Singlet,5.00000000069889e-07
467,Matched,1.1877550000000001,Doublet,1.18653,Singlet,0.0012250000000000316
467,Matched,1.4087,Singlet,1.4087,Singlet,0.0
467,Matched,2.096365,Multiplet,2.126966,Multiplet,0.03060099999999988
467,Matched,3.98928,Singlet,3.98928,Singlet,0.0
467,Matched,4.27818,Triplet,4.27981,Singlet,0.0016300000000004644
467,Matched,4.860865,Doublet,4.88772,Singlet,0.026854999999999407
467,Matched,5.036645,Doublet,5.01223,Singlet,0.024415000000000298
467,Matched,6.08401,Singlet,6.08157,Singlet,0.0024399999999999977
467,Matched,6.342805,Doublet,6.344025,Doublet,0.0012199999999999989
467,Matched,7.204625,Doublet,7.207065,Doublet,0.0024399999999999977
467,Missed,1.700445,Doublet,,,
467,Missed,1.8131599999999999,Triplet,,,
467,Missed,1.923348,Multiplet,,,
467,Missed,2.193372,Multiplet,,,
467,Spurious,,,1.91651,Singlet,
467,Spurious,,,2.21681,Singlet,
467,Spurious,,,4.84622,Singlet,
468,Matched,2.1158966666666665,Triplet,2.11915,Singlet,0.0032533333333333303
468,Matched,2.382215,Quartet,2.3535250000000003,Doublet,0.02868999999999966
468,Matched,4.386008333333333,Multiplet,4.3799,Singlet,0.006108333333332716
468,Matched,4.637475,Doublet,4.637475,Doublet,0.0
468,Matched,6.76761,Triplet,6.76395,Doublet,0.0036599999999999966
468,Matched,6.890905,Doublet,6.888465,Doublet,0.0024399999999999977
468,Matched,7.14847,Singlet,7.14847,Singlet,0.0
468,Matched,7.686805,Doublet,7.688025,Doublet,0.0012199999999999989
468,Matched,7.755165,Doublet,7.756385,Doublet,0.0012199999999999989
468,Matched,8.22758,Singlet,8.22758,Singlet,0.0
468,Matched,9.25542,Singlet,9.25542,Singlet,0.0
468,Missed,1.9759233333333335,Triplet,,,
468,Missed,2.314465,Doublet,,,
469,Matched,1.34522,Singlet,1.34522,Singlet,0.0
469,Matched,1.41114,Singlet,1.41114,Singlet,0.0
469,Matched,4.04543,Doublet,4.039325,Doublet,0.006104999999999805
469,Matched,5.43216,Singlet,5.43216,Singlet,0.0
469,Matched,6.78958,Singlet,6.78958,Singlet,0.0
469,Missed,4.61916,Singlet,,,
469,Missed,6.05716,Singlet,,,
469,Missed,7.346230000000001,Triplet,,,
470,Matched,3.0371249999999996,Quartet,3.05666,Singlet,0.019535000000000302
470,Matched,3.4448400000000006,Triplet,3.42287,Singlet,0.02197000000000049
470,Matched,6.49906,Singlet,6.49906,Singlet,0.0
470,Matched,7.55863,Singlet,7.55863,Singlet,0.0
470,Matched,7.7393,Singlet,7.7393,Singlet,0.0
470,Matched,7.9285049999999995,Doublet,7.9285049999999995,Doublet,0.0
470,Missed,3.2647874999999997,Quartet,,,
471,Matched,0.9448289999999999,Quartet,0.9570359999999999,Multiplet,0.012206999999999968
471,Matched,1.04004,Singlet,1.04004,Singlet,0.0
471,Matched,1.5226316666666666,Multiplet,1.50147,Singlet,0.021161666666666523
471,Matched,2.0568950000000004,Quartet,2.05323,Singlet,0.0036650000000002514
471,Matched,2.556165,Doublet,2.5879,Singlet,0.03173499999999985
471,Matched,3.3891760000000004,Multiplet,3.40334,Singlet,0.014163999999999621
471,Matched,3.624285,Quartet,3.60353,Singlet,0.020754999999999857
471,Matched,3.68166,Doublet,3.6841,Singlet,0.0024399999999999977
