Metric,Value
Overall_Multiplicity_Accuracy_pct,45.56574923547401
Total_Matched_Resonances,327.0
Total_Missed_Resonances_FN,122.0
Total_Spurious_Resonances_FP,42.0
Singlet_Recall_pct,95.04950495049505
Singlet_Precision_pct,45.497630331753555
Doublet_Recall_pct,40.54054054054054
Doublet_Precision_pct,44.11764705882353
Triplet_Recall_pct,30.508474576271187
Triplet_Precision_pct,52.94117647058823
Quartet_Recall_pct,4.25531914893617
Quartet_Precision_pct,25.0
Multiplet_Recall_pct,6.521739130434782
Multiplet_Precision_pct,50.0
