Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,11,11,0.0011100000000000049,55.0
451,0.02,20,11,11,0.0011100000000000049,55.0
451,0.05,20,11,11,0.0011100000000000049,55.0
452,0.01,86,10,10,0.0014659999999999229,11.627906976744185
452,0.02,86,10,10,0.0014659999999999229,11.627906976744185
452,0.05,86,10,10,0.0014659999999999229,11.627906976744185
453,0.01,2,2,2,0.0,100.0
453,0.02,2,2,2,0.0,100.0
453,0.05,2,2,2,0.0,100.0
454,0.01,9,6,4,0.0006102499999999789,44.44444444444444
454,0.02,9,6,4,0.0006102499999999789,44.44444444444444
454,0.05,9,6,4,0.0006102499999999789,44.44444444444444
455,0.01,22,10,10,0.0012219999999999675,45.45454545454545
455,0.02,22,10,10,0.0012219999999999675,45.45454545454545
455,0.05,22,10,10,0.0012219999999999675,45.45454545454545
456,0.01,58,15,14,0.0015692857142856858,24.137931034482758
456,0.02,58,15,15,0.0022779999999999728,25.862068965517242
456,0.05,58,15,15,0.0022779999999999728,25.862068965517242
457,0.01,34,18,18,0.001220555555555558,52.94117647058823
457,0.02,34,18,18,0.001220555555555558,52.94117647058823
457,0.05,34,18,18,0.001220555555555558,52.94117647058823
458,0.01,30,11,11,0.001110909090909021,36.666666666666664
458,0.02,30,11,11,0.001110909090909021,36.666666666666664
458,0.05,30,11,11,0.001110909090909021,36.666666666666664
459,0.01,43,15,15,0.0017906666666666737,34.883720930232556
459,0.02,43,15,15,0.0017906666666666737,34.883720930232556
459,0.05,43,15,15,0.0017906666666666737,34.883720930232556
460,0.01,1,1,1,0.0,100.0
460,0.02,1,1,1,0.0,100.0
460,0.05,1,1,1,0.0,100.0
461,0.01,18,11,10,0.001220999999999961,55.55555555555556
461,0.02,18,11,10,0.001220999999999961,55.55555555555556
461,0.05,18,11,11,0.0033299999999999745,61.111111111111114
462,0.01,27,11,11,0.0026627272727273166,40.74074074074074
462,0.02,27,11,11,0.0026627272727273166,40.74074074074074
462,0.05,27,11,11,0.0026627272727273166,40.74074074074074
463,0.01,39,14,14,0.0020914285714285696,35.8974358974359
463,0.02,39,14,14,0.0020914285714285696,35.8974358974359
463,0.05,39,14,14,0.0020914285714285696,35.8974358974359
464,0.01,37,18,15,0.0024413333333332954,40.54054054054054
464,0.02,37,18,17,0.00402117647058826,45.945945945945944
464,0.05,37,18,18,0.00515388888888889,48.648648648648646
465,0.01,97,18,18,0.0024408333333333673,18.556701030927837
465,0.02,97,18,18,0.0024408333333333673,18.556701030927837
465,0.05,97,18,18,0.0024408333333333673,18.556701030927837
466,0.01,14,14,11,0.0013318181818181866,78.57142857142857
466,0.02,14,14,13,0.0033807692307692427,92.85714285714286
466,0.05,14,14,13,0.0033807692307692427,92.85714285714286
467,0.01,39,19,19,0.0038542631578947274,48.717948717948715
467,0.02,39,19,19,0.0038542631578947274,48.717948717948715
467,0.05,39,19,19,0.0038542631578947274,48.717948717948715
468,0.01,32,14,13,0.0018792307692308509,40.625
468,0.02,32,14,14,0.0026171428571429367,43.75
468,0.05,32,14,14,0.0026171428571429367,43.75
469,0.01,11,6,6,0.002034999999999935,54.54545454545455
469,0.02,11,6,6,0.002034999999999935,54.54545454545455
469,0.05,11,6,6,0.002034999999999935,54.54545454545455
470,0.01,16,7,7,0.0006971428571428565,43.75
470,0.02,16,7,7,0.0006971428571428565,43.75
470,0.05,16,7,7,0.0006971428571428565,43.75
471,0.01,71,17,13,0.0037555384615384556,18.309859154929576
471,0.02,71,17,13,0.0037555384615384556,18.309859154929576
471,0.05,71,17,15,0.008137000000000002,21.12676056338028
472,0.01,89,22,16,0.0032039375000000037,17.97752808988764
472,0.02,89,22,19,0.00552473684210527,21.348314606741575
472,0.05,89,22,21,0.0080212380952381,23.59550561797753
473,0.01,24,17,16,0.0019831250000000022,66.66666666666667
473,0.02,24,17,17,0.0027282352941176524,70.83333333333333
473,0.05,24,17,17,0.0027282352941176524,70.83333333333333
474,0.01,41,18,14,0.004010785714285687,34.146341463414636
474,0.02,41,18,17,0.00574476470588234,41.46341463414634
474,0.05,41,18,18,0.006646166666666657,43.90243902439025
475,0.01,7,7,6,0.0036616666666667483,85.71428571428571
475,0.02,7,7,6,0.0036616666666667483,85.71428571428571
475,0.05,7,7,6,0.0036616666666667483,85.71428571428571
476,0.01,16,11,11,0.0008872727272727265,68.75
476,0.02,16,11,11,0.0008872727272727265,68.75
476,0.05,16,11,11,0.0008872727272727265,68.75
477,0.01,92,22,18,0.003119555555555542,19.565217391304348
477,0.02,92,22,19,0.00359799999999999,20.652173913043477
477,0.05,92,22,21,0.0066272380952380775,22.82608695652174
478,0.01,32,10,10,0.00048799999999999956,31.25
478,0.02,32,10,10,0.00048799999999999956,31.25
478,0.05,32,10,10,0.00048799999999999956,31.25
479,0.01,1,1,1,0.0,100.0
479,0.02,1,1,1,0.0,100.0
479,0.05,1,1,1,0.0,100.0
480,0.01,19,11,11,0.0006654545454545448,57.89473684210526
480,0.02,19,11,11,0.0006654545454545448,57.89473684210526
480,0.05,19,11,11,0.0006654545454545448,57.89473684210526
481,0.01,45,16,14,0.0026157142857143245,31.11111111111111
481,0.02,45,16,14,0.0026157142857143245,31.11111111111111
481,0.05,45,16,16,0.005645625000000029,35.55555555555556
482,0.01,14,14,10,0.0039049999999999584,71.42857142857143
482,0.02,14,14,11,0.004881818181818189,78.57142857142857
482,0.05,14,14,12,0.008136666666666681,85.71428571428571
483,0.01,8,6,6,0.0008133333333333326,75.0
483,0.02,8,6,6,0.0008133333333333326,75.0
483,0.05,8,6,6,0.0008133333333333326,75.0
484,0.01,42,18,12,0.0036629999999999627,28.571428571428573
484,0.02,42,18,15,0.006185733333333299,35.714285714285715
484,0.05,42,18,15,0.006185733333333299,35.714285714285715
485,0.01,23,10,10,0.0009769999999999612,43.47826086956522
485,0.02,23,10,10,0.0009769999999999612,43.47826086956522
485,0.05,23,10,10,0.0009769999999999612,43.47826086956522
486,0.01,20,7,7,0.002442857142857096,35.0
486,0.02,20,7,7,0.002442857142857096,35.0
486,0.05,20,7,7,0.002442857142857096,35.0
487,0.01,4,4,4,0.0,100.0
487,0.02,4,4,4,0.0,100.0
487,0.05,4,4,4,0.0,100.0
488,0.01,11,7,7,0.0017428571428571413,63.63636363636363
488,0.02,11,7,7,0.0017428571428571413,63.63636363636363
488,0.05,11,7,7,0.0017428571428571413,63.63636363636363
489,0.01,3,4,3,0.0,100.0
489,0.02,3,4,3,0.0,100.0
489,0.05,3,4,3,0.0,100.0
490,0.01,38,13,13,0.00206561538461536,34.21052631578947
490,0.02,38,13,13,0.00206561538461536,34.21052631578947
490,0.05,38,13,13,0.00206561538461536,34.21052631578947
491,0.01,8,9,6,0.002846666666666664,75.0
491,0.02,8,9,6,0.002846666666666664,75.0
491,0.05,8,9,7,0.006624285714285781,87.5
492,0.01,15,8,8,0.0009149999999999991,53.333333333333336
492,0.02,15,8,8,0.0009149999999999991,53.333333333333336
492,0.05,15,8,8,0.0009149999999999991,53.333333333333336
493,0.01,20,14,14,0.001394285714285713,70.0
493,0.02,20,14,14,0.001394285714285713,70.0
493,0.05,20,14,14,0.001394285714285713,70.0
494,0.01,9,6,6,0.0016266666666666652,66.66666666666667
494,0.02,9,6,6,0.0016266666666666652,66.66666666666667
494,0.05,9,6,6,0.0016266666666666652,66.66666666666667
495,0.01,8,7,7,0.004532857142857212,87.5
495,0.02,8,7,7,0.004532857142857212,87.5
495,0.05,8,7,7,0.004532857142857212,87.5
496,0.01,94,20,17,0.0030155882352940985,18.085106382978722
496,0.02,94,20,19,0.004496578947368417,20.21276595744681
496,0.05,94,20,20,0.005492249999999999,21.27659574468085
497,0.01,20,14,14,0.002266428571428574,70.0
497,0.02,20,14,14,0.002266428571428574,70.0
497,0.05,20,14,14,0.002266428571428574,70.0
498,0.01,14,5,4,0.0012199999999999989,28.571428571428573
498,0.02,14,5,4,0.0012199999999999989,28.571428571428573
498,0.05,14,5,5,0.005369999999999963,35.714285714285715
499,0.01,4,4,4,0.0,100.0
499,0.02,4,4,4,0.0,100.0
499,0.05,4,4,4,0.0,100.0
500,0.01,7,4,3,0.0,42.857142857142854
500,0.02,7,4,4,0.003662500000000013,57.142857142857146
500,0.05,7,4,4,0.003662500000000013,57.142857142857146
501,0.01,9,7,7,0.0006971428571428565,77.77777777777777
501,0.02,9,7,7,0.0006971428571428565,77.77777777777777
501,0.05,9,7,7,0.0006971428571428565,77.77777777777777
502,0.01,30,11,11,0.0022184545454545413,36.666666666666664
502,0.02,30,11,11,0.0022184545454545413,36.666666666666664
502,0.05,30,11,11,0.0022184545454545413,36.666666666666664
