Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm,Simulated_Area,Predicted_Area,Area_Abs_Error,Area_Pct_Error
451,Matched,1.2557033333333332,Triplet,1.2557033333333332,Triplet,0.0,0.007144911214709282,0.006636601407080889,0.0005083098076283932,7.114291449583474
451,Matched,3.7341499999999996,Quartet,3.7341499999999996,Quartet,0.0,0.004782646894454956,0.004980721045285463,0.00019807415083050728,4.141517348064233
451,Matched,4.721705,Doublet,4.721705,Doublet,0.0,0.004742474295198917,0.00490987952798605,0.00016740523278713226,3.5299133398910842
451,Matched,7.023553333333333,Multiplet,7.05082,Singlet,0.027266666666666772,0.002388058230280876,0.00195676670409739,0.000431291526183486,18.060343785367362
451,Matched,7.237585,Quartet,7.23148,Singlet,0.006104999999999805,0.004752681124955416,0.004467756487429142,0.00028492463752627373,5.995029543012873
451,Matched,8.45463,Singlet,8.45219,Singlet,0.0024399999999999977,0.004714141599833965,0.0053626676090061665,0.0006485260091722012,13.757032864584351
452,Matched,0.815434,Singlet,0.815434,Singlet,0.0,0.0061993226408958435,0.005194075405597687,0.0010052472352981567,16.215436645718633
452,Matched,1.15723,Singlet,1.15357,Doublet,0.0036599999999999966,0.006184031255543232,0.004193188156932592,0.0019908430986106396,32.19328972223565
452,Matched,1.7822370000000003,Multiplet,1.74806,Singlet,0.034177000000000346,0.006051532458513975,0.004024171270430088,0.002027361188083887,33.501616358870685
452,Matched,3.6364924999999997,Quartet,3.63771,Singlet,0.0012175000000005376,0.0041876668110489845,0.002205086871981621,0.0019825799390673637,47.34330663166442
452,Matched,4.6566,Triplet,4.66311,Singlet,0.006509999999999572,0.002067907713353634,0.001260983059182763,0.0008069246541708708,39.02130878279084
452,Matched,5.72024,Singlet,5.72024,Singlet,0.0,0.0020572333596646786,0.001003757119178772,0.0010534762404859066,51.20839770251535
452,Matched,7.2668833333333325,Multiplet,7.2559,Singlet,0.0109833333333329,0.010420501232147217,0.007426581811159849,0.0029939194209873676,28.731050016587826
452,Missed,0.8606,Doublet,,,,,,,
452,Missed,1.0026088333333334,Multiplet,,,,,,,
452,Missed,1.2353575,Multiplet,,,,,,,
452,Missed,1.3655650000000001,Multiplet,,,,,,,
452,Missed,1.611201111111111,Multiplet,,,,,,,
452,Missed,2.0629975000000003,Multiplet,,,,,,,
452,Missed,2.28883,Quartet,,,,,,,
452,Missed,2.40357625,Multiplet,,,,,,,
453,Matched,6.79691,Singlet,6.79691,Singlet,0.0,0.003556199371814728,0.0032463655807077885,0.0003098337911069393,8.712497773960047
453,Matched,7.30228,Singlet,7.30228,Singlet,0.0,0.0035567977465689182,0.0032465471886098385,0.00031025055795907974,8.722749508553429
454,Matched,0.9692435,Doublet,0.969243,Singlet,5.00000000069889e-07,0.0011791856959462166,0.001158371684141457,2.0814011804759502e-05,1.7651173921387902
454,Matched,1.20118,Singlet,1.20118,Singlet,0.0,0.003933433443307877,0.005142142530530691,0.0012087090872228146,30.72910994030532
454,Matched,1.4087,Singlet,1.4087,Singlet,0.0,0.0011760684428736567,0.001435398356989026,0.0002593299141153693,22.050580107541304
454,Matched,3.98928,Singlet,3.98928,Singlet,0.0,0.00039147987263277173,0.0004634121432900429,7.193227065727115e-05,18.374449284841603
454,Matched,5.0342,Singlet,5.05862,Singlet,0.02442000000000011,0.0002406276180408895,0.00046828718041069806,0.00022765956236980855,94.61073679876709
454,Missed,1.91529,Doublet,,,,,,,
454,Missed,4.91946,Singlet,,,,,,,
454,Spurious,,,6.08157,Singlet,,,,,
455,Matched,1.1108449999999999,Doublet,1.124885,Quartet,0.014040000000000052,0.006308679934591055,0.008221276104450226,0.001912596169859171,30.31689972687052
455,Matched,2.286385,Doublet,2.32423,Singlet,0.037844999999999906,0.0020908378064632416,0.0016236224910244346,0.000467215315438807,22.345842130582355
455,Matched,2.7758933333333338,Triplet,2.774266666666667,Triplet,0.0016266666666666652,0.006265677511692047,0.006895281374454498,0.0006296038627624512,10.048456237774461
455,Matched,5.423437142857142,Multiplet,5.42239,Triplet,0.001047142857141914,0.004212694708257914,0.004211870487779379,8.242204785346985e-07,0.01956516044039518
455,Matched,6.0775033333333335,Triplet,6.07425,Singlet,0.0032533333333333303,0.002085665939375758,0.0022813864052295685,0.0001957204658538103,9.384075472431105
455,Missed,1.14991,Singlet,,,,,,,
455,Missed,2.3632925,Quartet,,,,,,,
456,Matched,3.0520775,Multiplet,3.04201,Singlet,0.01006750000000034,0.002415689639747143,0.002522712107747793,0.0001070224680006504,4.430307032812905
456,Matched,3.6712825000000002,Quartet,3.640155,Doublet,0.031127500000000197,0.001217170967720449,0.001715751364827156,0.0004985803971067071,40.96223212096999
