Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,12,12,0.0012208333333333006,60.0
451,0.02,20,12,12,0.0012208333333333006,60.0
451,0.05,20,12,12,0.0012208333333333006,60.0
452,0.01,86,8,7,0.002791428571428461,8.13953488372093
452,0.02,86,8,7,0.002791428571428461,8.13953488372093
452,0.05,86,8,8,0.008546249999999894,9.30232558139535
453,0.01,2,2,2,0.0,100.0
453,0.02,2,2,2,0.0,100.0
453,0.05,2,2,2,0.0,100.0
454,0.01,9,6,4,0.0006102499999999789,44.44444444444444
454,0.02,9,6,4,0.0006102499999999789,44.44444444444444
454,0.05,9,6,5,0.005372200000000005,55.55555555555556
455,0.01,22,12,9,0.0013566666666666232,40.90909090909091
455,0.02,22,12,9,0.0013566666666666232,40.90909090909091
455,0.05,22,12,11,0.005549090909090887,50.0
456,0.01,58,14,13,0.002815384615384613,22.413793103448278
456,0.02,58,14,14,0.0034857142857142825,24.137931034482758
456,0.05,58,14,14,0.0034857142857142825,24.137931034482758
457,0.01,34,21,18,0.0013561111111111135,52.94117647058823
457,0.02,34,21,20,0.0026850000000000263,58.8235294117647
457,0.05,34,21,21,0.003951904761904788,61.76470588235294
458,0.01,30,10,10,0.0007329999999999614,33.333333333333336
458,0.02,30,10,10,0.0007329999999999614,33.333333333333336
458,0.05,30,10,10,0.0007329999999999614,33.333333333333336
459,0.01,43,12,12,0.0010166666666666657,27.906976744186046
459,0.02,43,12,12,0.0010166666666666657,27.906976744186046
459,0.05,43,12,12,0.0010166666666666657,27.906976744186046
460,0.01,1,1,1,0.0,100.0
460,0.02,1,1,1,0.0,100.0
460,0.05,1,1,1,0.0,100.0
461,0.01,18,9,9,0.0016288888888888525,50.0
461,0.02,18,9,9,0.0016288888888888525,50.0
461,0.05,18,9,9,0.0016288888888888525,50.0
462,0.01,27,9,9,0.0032544444444443993,33.333333333333336
462,0.02,27,9,9,0.0032544444444443993,33.333333333333336
462,0.05,27,9,9,0.0032544444444443993,33.333333333333336
463,0.01,39,10,10,0.0017099999999999672,25.641025641025642
463,0.02,39,10,10,0.0017099999999999672,25.641025641025642
463,0.05,39,10,10,0.0017099999999999672,25.641025641025642
464,0.01,37,23,18,0.002847222222222211,48.648648648648646
464,0.02,37,23,21,0.004533333333333352,56.75675675675676
464,0.05,37,23,23,0.006262608695652162,62.16216216216216
465,0.01,97,16,14,0.0017430714285714252,14.43298969072165
465,0.02,97,16,16,0.003050687499999996,16.49484536082474
465,0.05,97,16,16,0.003050687499999996,16.49484536082474
466,0.01,14,13,12,0.0008141666666666714,85.71428571428571
466,0.02,14,13,13,0.0016907692307692392,92.85714285714286
466,0.05,14,13,13,0.0016907692307692392,92.85714285714286
467,0.01,39,16,16,0.0012200624999999937,41.02564102564103
467,0.02,39,16,16,0.0012200624999999937,41.02564102564103
467,0.05,39,16,16,0.0012200624999999937,41.02564102564103
468,0.01,32,18,12,0.0014241666666667079,37.5
468,0.02,32,18,15,0.004556666666666705,46.875
468,0.05,32,18,16,0.007323750000000018,50.0
469,0.01,11,6,6,0.0016283333333332688,54.54545454545455
469,0.02,11,6,6,0.0016283333333332688,54.54545454545455
469,0.05,11,6,6,0.0016283333333332688,54.54545454545455
470,0.01,16,9,6,0.0008150000000000102,37.5
470,0.02,16,9,8,0.0054937500000000195,50.0
470,0.05,16,9,9,0.007324444444444467,56.25
471,0.01,71,19,14,0.002790999999999964,19.718309859154928
471,0.02,71,19,15,0.00358159999999997,21.12676056338028
471,0.05,71,19,17,0.0073245294117646855,23.943661971830984
472,0.01,89,27,17,0.0028725294117647395,19.10112359550562
472,0.02,89,27,18,0.003662388888888911,20.224719101123597
472,0.05,89,27,22,0.00887813636363639,24.719101123595507
473,0.01,24,18,18,0.0,75.0
473,0.02,24,18,18,0.0,75.0
473,0.05,24,18,18,0.0,75.0
474,0.01,41,17,14,0.0015693571428571085,34.146341463414636
474,0.02,41,17,14,0.0015693571428571085,34.146341463414636
474,0.05,41,17,15,0.0037433999999999744,36.58536585365854
475,0.01,7,6,5,0.0009799999999998477,71.42857142857143
475,0.02,7,6,5,0.0009799999999998477,71.42857142857143
475,0.05,7,6,5,0.0009799999999998477,71.42857142857143
476,0.01,16,11,11,0.0006663636363636014,68.75
476,0.02,16,11,11,0.0006663636363636014,68.75
476,0.05,16,11,11,0.0006663636363636014,68.75
477,0.01,92,21,17,0.003159999999999986,18.47826086956522
477,0.02,92,21,18,0.0036622222222222087,19.565217391304348
477,0.05,92,21,21,0.009417142857142832,22.82608695652174
478,0.01,32,11,8,0.0012212499999999515,25.0
478,0.02,32,11,10,0.00341800000000001,31.25
478,0.05,32,11,11,0.005992727272727291,34.375
479,0.01,1,1,1,0.0,100.0
479,0.02,1,1,1,0.0,100.0
479,0.05,1,1,1,0.0,100.0
480,0.01,19,11,11,0.0015527272727272714,57.89473684210526
480,0.02,19,11,11,0.0015527272727272714,57.89473684210526
480,0.05,19,11,11,0.0015527272727272714,57.89473684210526
481,0.01,45,18,16,0.0016793750000000385,35.55555555555556
481,0.02,45,18,17,0.002298823529411804,37.77777777777778
481,0.05,45,18,18,0.0036633333333333765,40.0
482,0.01,14,16,9,0.0024422222222221356,64.28571428571429
482,0.02,14,16,9,0.0024422222222221356,64.28571428571429
482,0.05,14,16,12,0.00956333333333322,85.71428571428571
483,0.01,8,5,5,0.0009759999999999991,62.5
483,0.02,8,5,5,0.0009759999999999991,62.5
483,0.05,8,5,5,0.0009759999999999991,62.5
484,0.01,42,15,11,0.003109545454545458,26.19047619047619
484,0.02,42,15,14,0.005582428571428576,33.333333333333336
484,0.05,42,15,15,0.008302933333333318,35.714285714285715
485,0.01,23,15,13,0.0005638461538461242,56.52173913043478
485,0.02,23,15,14,0.0019185714285714045,60.869565217391305
485,0.05,23,15,14,0.0019185714285714045,60.869565217391305
486,0.01,20,8,6,0.004071666666666622,30.0
486,0.02,20,8,7,0.005582857142857112,35.0
486,0.05,20,8,8,0.009767499999999985,40.0
487,0.01,4,4,4,0.0,100.0
487,0.02,4,4,4,0.0,100.0
487,0.05,4,4,4,0.0,100.0
488,0.01,11,8,8,0.0003049999999999997,72.72727272727273
488,0.02,11,8,8,0.0003049999999999997,72.72727272727273
488,0.05,11,8,8,0.0003049999999999997,72.72727272727273
489,0.01,3,4,3,0.0,100.0
489,0.02,3,4,3,0.0,100.0
489,0.05,3,4,3,0.0,100.0
490,0.01,38,14,13,0.0016894615384615435,34.21052631578947
490,0.02,38,14,13,0.0016894615384615435,34.21052631578947
490,0.05,38,14,14,0.0036616428571428694,36.8421052631579
491,0.01,8,8,4,0.003662499999999902,50.0
491,0.02,8,8,8,0.009153750000000072,100.0
491,0.05,8,8,8,0.009153750000000072,100.0
