Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm,Simulated_Area,Predicted_Area,Area_Abs_Error,Area_Pct_Error
451,Matched,1.2557033333333332,Triplet,1.2557033333333332,Triplet,0.0,0.007144911214709282,0.006211256142705679,0.000933655072003603,13.067413211258389
451,Matched,3.7341499999999996,Quartet,3.7264166666666667,Triplet,0.007733333333332926,0.004782646894454956,0.005790863186120987,0.0010082162916660309,21.08071772630687
451,Matched,4.721705,Doublet,4.721705,Doublet,0.0,0.004742474295198917,0.005409340374171734,0.0006668660789728165,14.061564437954335
451,Matched,7.023553333333333,Multiplet,7.03861,Singlet,0.015056666666667162,0.002388058230280876,0.0029934674967080355,0.0006054092664271593,25.351528649950588
451,Matched,7.237585,Quartet,7.23392,Singlet,0.0036649999999998073,0.004752681124955416,0.0033085988834500313,0.0014440822415053844,30.3845809036669
451,Matched,8.45463,Singlet,8.45219,Singlet,0.0024399999999999977,0.004714141599833965,0.005549598019570112,0.0008354564197361469,17.722344610216464
452,Matched,0.815434,Singlet,0.815434,Singlet,0.0,0.0061993226408958435,0.005119210109114647,0.0010801125317811966,17.423073363787903
452,Matched,0.8606,Doublet,0.852055,Singlet,0.008545000000000025,0.0021196359302848577,0.0014779967023059726,0.0006416392279788852,30.271199823106194
452,Matched,1.0026088333333334,Multiplet,0.991216,Singlet,0.011392833333333408,0.004192912019789219,0.0030614319257438183,0.0011314800940454006,26.98554342912926
452,Matched,1.15723,Singlet,1.15357,Doublet,0.0036599999999999966,0.006184031255543232,0.0037928966339677572,0.0023911346215754747,38.6662764589379
452,Matched,1.7822370000000003,Multiplet,1.75782,Singlet,0.024417000000000355,0.006051532458513975,0.004209328908473253,0.001842203550040722,30.441934545833977
452,Matched,2.40357625,Multiplet,2.36818,Singlet,0.035396249999999796,0.00598676223307848,0.004561747889965773,0.0014250143431127071,23.802754938873598
452,Matched,3.6364924999999997,Quartet,3.63771,Singlet,0.0012175000000005376,0.0041876668110489845,0.003404835471883416,0.0007828313391655684,18.693735067462875
452,Matched,4.6566,Triplet,4.65578,Singlet,0.0008200000000000429,0.002067907713353634,0.0018712414894253016,0.00019666622392833233,9.510396554853429
452,Matched,5.72024,Singlet,5.72024,Singlet,0.0,0.0020572333596646786,0.0015406536404043436,0.000516579719260335,25.11040941629177
452,Matched,7.2668833333333325,Multiplet,7.2559,Singlet,0.0109833333333329,0.010420501232147217,0.008932992815971375,0.0014875084161758423,14.274825970816865
452,Missed,1.2353575,Multiplet,,,,,,,
452,Missed,1.3655650000000001,Multiplet,,,,,,,
452,Missed,1.611201111111111,Multiplet,,,,,,,
452,Missed,2.0629975000000003,Multiplet,,,,,,,
452,Missed,2.28883,Quartet,,,,,,,
452,Spurious,,,1.55762,Singlet,,,,,
453,Matched,6.79691,Singlet,6.79691,Singlet,0.0,0.003556199371814728,0.003028090111911297,0.0005281092599034309,14.850383926420214
453,Matched,7.30228,Singlet,7.30228,Singlet,0.0,0.0035567977465689182,0.0031097782775759697,0.00044701946899294853,12.568031719660416
454,Matched,0.9692435,Doublet,0.969243,Singlet,5.00000000069889e-07,0.0011791856959462166,0.001482536201365292,0.0003033505054190755,25.72542276097212
454,Matched,1.20118,Singlet,1.20118,Singlet,0.0,0.003933433443307877,0.004384992644190788,0.0004515592008829117,11.480026480457404
454,Matched,1.4087,Singlet,1.4087,Singlet,0.0,0.0011760684428736567,0.0017031145980581641,0.0005270461551845074,44.81424175422137
454,Matched,3.98928,Singlet,3.98928,Singlet,0.0,0.00039147987263277173,0.0007461186032742262,0.00035463873064145446,90.58926280333289
454,Missed,1.91529,Doublet,,,,,,,
454,Missed,4.91946,Singlet,,,,,,,
454,Missed,5.0342,Singlet,,,,,,,
454,Spurious,,,6.35257,Singlet,,,,,
455,Matched,1.14991,Singlet,1.1370900000000002,Quartet,0.012819999999999832,0.006265350617468357,0.006512326188385487,0.0002469755709171295,3.9419273716069387
455,Matched,2.286385,Doublet,2.31935,Singlet,0.03296499999999991,0.0020908378064632416,0.0019273841753602028,0.0001634536311030388,7.817614096979091
455,Matched,2.7758933333333338,Triplet,2.7750800000000004,Triplet,0.0008133333333333326,0.006265677511692047,0.005835887975990772,0.00042978953570127487,6.8594263732735605
455,Matched,5.423437142857142,Multiplet,5.42239,Triplet,0.001047142857141914,0.004212694708257914,0.0045749894343316555,0.0003622947260737419,8.600070766190473
455,Matched,6.0775033333333335,Triplet,6.07669,Singlet,0.0008133333333333326,0.002085665939375758,0.0028652821201831102,0.0007796161808073521,37.37972443663207
455,Missed,1.1108449999999999,Doublet,,,,,,,
455,Missed,2.3632925,Quartet,,,,,,,
456,Matched,3.0520775,Multiplet,3.03957,Singlet,0.012507500000000338,0.002415689639747143,0.0037459039594978094,0.0013302143197506666,55.06561347383615
